policy_role,verifier,path,sketch_memory,speedup_min,speedup_median,speedup_max,max_sram_bytes,energy_proxy_median
Aggressive,dim_had_even_w16_b64_r0.1,dim,narrow_hbm,1.0547976258197325,1.7225941213414033,1.7252549469655798,1572600.0446701138,0.6377629511869708
Aggressive,dim_had_even_w16_b64_r0.1,dim,separate_sram,1.0547976258197325,1.7225941213414033,1.7252549469655798,3537570.7080111005,0.6377629511869708
Aggressive,dim_had_even_w16_b64_r0.1,dim,shared_hbm,1.0459931997242176,1.564340559990605,1.7252549469655798,1572600.0446701138,0.6377629511869708
Aggressive,dim_had_random_w32_b64_r0.1,dim,narrow_hbm,1.0548330036790075,1.7097706901895715,1.7120856205251167,1571569.0669919194,0.6990705234278431
Aggressive,dim_had_random_w32_b64_r0.1,dim,separate_sram,1.0548330036790075,1.7097706901895715,1.7120856205251167,5463834.120439141,0.6990705234278431
Aggressive,dim_had_random_w32_b64_r0.1,dim,shared_hbm,1.0376447067672394,1.4397868195413908,1.7120856205251167,1571569.0669919194,0.6990705234278431
Aggressive,head_dynamic_abs_w16_b64_r0.1,head,full_k_hbm,0.9594002313112284,1.3416649072376765,1.543457870070681,1373949.8720366622,0.9819941493276761
Aggressive,head_dynamic_abs_w8_b64_r0.1,head,full_k_hbm,0.9594002313112284,1.3567914915261519,1.5712693822304677,1375269.7076524391,0.970130778657489
Balanced,dim_had_even_w16_b64_r0.1,dim,narrow_hbm,1.0463105481021673,1.6500329645876726,1.6521042318161414,1505903.3477849935,0.659555615380684
Balanced,dim_had_even_w16_b64_r0.1,dim,separate_sram,1.0463105481021673,1.6500329645876726,1.6521042318161414,3354840.877196665,0.659555615380684
Balanced,dim_had_even_w16_b64_r0.1,dim,shared_hbm,1.0386809731587476,1.5130486399122045,1.6521042318161414,1505903.3477849935,0.659555615380684
Balanced,dim_had_random_w32_b64_r0.1,dim,narrow_hbm,1.0463473089035,1.6447265457908675,1.6467767403105478,1505742.6694756746,0.7160939430161629
Balanced,dim_had_random_w32_b64_r0.1,dim,separate_sram,1.0463473089035,1.6447265457908675,1.6467767403105478,5187143.209759066,0.7160939430161629
Balanced,dim_had_random_w32_b64_r0.1,dim,shared_hbm,1.0314702720502067,1.3939105770217186,1.6467767403105478,1505742.6694756746,0.7160939430161629
Balanced,head_dynamic_abs_w16_b64_r0.1,head,full_k_hbm,0.9594002313112284,1.327404317612714,1.547387595421459,1374075.4603290677,0.9817474077670612
Balanced,head_dynamic_abs_w8_b64_r0.1,head,full_k_hbm,0.9594002313112284,1.341361544249977,1.571383947430434,1375164.8657681283,0.9701225765461186
