cycles_per_decode_step,full_dsa_cycles_per_decode_step,speedup_over_full_dsa,effective_hbm_utilization,verifier_utilization,full_rerank_utilization,rescue_fifo_occupancy_tokens,physical_key_and_sketch_bytes,full_key_bytes,sketch_bytes,metadata_bytes,candidate_sram_bytes,sketch_sram_bytes,total_sram_bytes,normalized_energy_proxy,net_qk_reduction_model,physical_byte_reduction_model,selector_cycles,model_is_optimistic_streaming,policy_role,verifier,path,width,measured_rescue_fraction,rescue_rate_scale,modeled_rescue_fraction,context_length,rate_source_context,full_k_bandwidth_gbps,sketch_memory,verifier_compute_ratio,clock_hz,full_engine_macs_per_cycle
8305.605117146895,8256.0,0.9940275131736657,0.9901262269406188,0.006709672609092928,0.9364851229818988,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,256,full_k_hbm,1,1000000000,8192.0
8337.503875968992,8256.0,0.9902244272168905,0.9901640033674931,0.006684001829022938,0.9367281268561706,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,256,full_k_hbm,1,1000000000,8192.0
8369.40263479109,8256.0,0.9864503310762369,0.9902014918356725,0.00665852672982958,0.936969278382714,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,256,full_k_hbm,1,1000000000,8192.0
8401.301393613188,8256.0,0.9827048945388808,0.9902386956251935,0.006633245082580643,0.9372085986609724,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,256,full_k_hbm,1,1000000000,8192.0
8305.605117146895,8256.0,0.9940275131736657,0.9901262269406188,0.003354836304546464,0.9364851229818988,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,256,full_k_hbm,2,1000000000,8192.0
8337.503875968992,8256.0,0.9902244272168905,0.9901640033674931,0.003342000914511469,0.9367281268561706,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,256,full_k_hbm,2,1000000000,8192.0
8369.40263479109,8256.0,0.9864503310762369,0.9902014918356725,0.00332926336491479,0.936969278382714,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,256,full_k_hbm,2,1000000000,8192.0
8401.301393613188,8256.0,0.9827048945388808,0.9902386956251935,0.0033166225412903216,0.9372085986609724,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,256,full_k_hbm,2,1000000000,8192.0
8305.605117146895,8256.0,0.9940275131736657,0.9901262269406188,0.001677418152273232,0.9364851229818988,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,256,full_k_hbm,4,1000000000,8192.0
8337.503875968992,8256.0,0.9902244272168905,0.9901640033674931,0.0016710004572557345,0.9367281268561706,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,256,full_k_hbm,4,1000000000,8192.0
8369.40263479109,8256.0,0.9864503310762369,0.9902014918356725,0.001664631682457395,0.936969278382714,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,256,full_k_hbm,4,1000000000,8192.0
8401.301393613188,8256.0,0.9827048945388808,0.9902386956251935,0.0016583112706451608,0.9372085986609724,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,256,full_k_hbm,4,1000000000,8192.0
8305.605117146895,8256.0,0.9940275131736657,0.9901262269406188,0.000838709076136616,0.9364851229818988,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,256,full_k_hbm,8,1000000000,8192.0
8337.503875968992,8256.0,0.9902244272168905,0.9901640033674931,0.0008355002286278673,0.9367281268561706,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,256,full_k_hbm,8,1000000000,8192.0
8369.40263479109,8256.0,0.9864503310762369,0.9902014918356725,0.0008323158412286975,0.936969278382714,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,256,full_k_hbm,8,1000000000,8192.0
8401.301393613188,8256.0,0.9827048945388808,0.9902386956251935,0.0008291556353225804,0.9372085986609724,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,256,full_k_hbm,8,1000000000,8192.0
7858.075629570398,8256.0,1.0506389081993803,0.5232577188588943,0.007091798779176326,0.9898193904244246,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,512,full_k_hbm,1,1000000000,8192.0
7889.974388392496,8256.0,1.0463912293740765,0.5231636891031419,0.007063127003105087,0.9898605501029644,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,512,full_k_hbm,1,1000000000,8192.0
7921.873147214593,8256.0,1.0421777585397072,0.5230704166007426,0.007034686130521674,0.9899013783087238,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,512,full_k_hbm,1,1000000000,8192.0
7953.771906036691,8256.0,1.037998084120809,0.5229778922407576,0.007006473383297134,0.9899418790298371,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,512,full_k_hbm,1,1000000000,8192.0
7858.075629570398,8256.0,1.0506389081993803,0.5232577188588943,0.003545899389588163,0.9898193904244246,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,512,full_k_hbm,2,1000000000,8192.0
7889.974388392496,8256.0,1.0463912293740765,0.5231636891031419,0.0035315635015525436,0.9898605501029644,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,512,full_k_hbm,2,1000000000,8192.0
7921.873147214593,8256.0,1.0421777585397072,0.5230704166007426,0.003517343065260837,0.9899013783087238,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,512,full_k_hbm,2,1000000000,8192.0
7953.771906036691,8256.0,1.037998084120809,0.5229778922407576,0.003503236691648567,0.9899418790298371,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,512,full_k_hbm,2,1000000000,8192.0
7858.075629570398,8256.0,1.0506389081993803,0.5232577188588943,0.0017729496947940814,0.9898193904244246,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,512,full_k_hbm,4,1000000000,8192.0
7889.974388392496,8256.0,1.0463912293740765,0.5231636891031419,0.0017657817507762718,0.9898605501029644,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,512,full_k_hbm,4,1000000000,8192.0
7921.873147214593,8256.0,1.0421777585397072,0.5230704166007426,0.0017586715326304186,0.9899013783087238,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,512,full_k_hbm,4,1000000000,8192.0
7953.771906036691,8256.0,1.037998084120809,0.5229778922407576,0.0017516183458242834,0.9899418790298371,127.59503528839133,2130253.156764976,2129739.195792805,0.0,513.9609721713009,32664.32903382818,0.0,32664.32903382818,1.006218392862449,0.03204348178794514,-0.015783861525047405,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2.0,0.2,8192,8192,512,full_k_hbm,4,1000000000,8192.0
7858.075629570398,8256.0,1.0506389081993803,0.5232577188588943,0.0008864748473970407,0.9898193904244246,31.898758822097832,2105754.909989605,2105240.949017434,0.0,513.9609721713009,8166.082258457045,0.0,8166.082258457045,0.9945367184891222,0.04372515616127193,-0.004102187151720615,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,512,full_k_hbm,8,1000000000,8192.0
7889.974388392496,8256.0,1.0463912293740765,0.5231636891031419,0.0008828908753881359,0.9898605501029644,63.797517644195665,2113920.992248062,2113407.031275891,0.0,513.9609721713009,16332.16451691409,0.0,16332.16451691409,0.9984306099468977,0.039831264703496294,-0.007996078609496138,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.0,0.1,8192,8192,512,full_k_hbm,8,1000000000,8192.0
7921.873147214593,8256.0,1.0421777585397072,0.5230704166007426,0.0008793357663152093,0.9899013783087238,95.6962764662935,2122087.074506519,2121573.1135343476,0.0,513.9609721713009,24498.246775371135,0.0,24498.246775371135,1.0023245014046733,0.03593737324572077,-0.01188997006727166,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15000000000000002,8192,8192,512,full_k_hbm,8,1000000000,8192.0
