comparison,policy,selection_role,prompt_id,workload,context_length,step,logit_kl,top1_agreement,top5_overlap,baseline_nll,approx_nll,final_hidden_cosine,final_hidden_relative_l2,selected_hidden_cosine_mean,selected_hidden_cosine_worst,selected_hidden_relative_l2_mean,selected_hidden_relative_l2_worst,baseline_decode_seconds,approx_decode_seconds
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,0,0.0,True,1.0,0.017764391377568245,0.017764391377568245,1.000000238418579,0.0,1.0000004768371582,0.9999998807907104,0.0,0.0,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,1,0.0,True,1.0,0.0002079985715681687,0.0002079985715681687,1.0000003576278687,0.0,1.0000004768371582,1.0000001192092896,0.0,0.0,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,2,0.000649808906018734,True,1.0,0.9015059471130371,0.9131591320037842,0.9999770522117615,0.007556622382253408,0.9999790191650391,0.9999420046806335,0.0047365459613502026,0.01081883255392313,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,3,3.268082082286128e-06,True,1.0,0.02575862407684326,0.025808114558458328,0.999905526638031,0.01388289500027895,0.9999479055404663,0.9998593330383301,0.008161548525094986,0.017014162614941597,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,4,0.00018310756422579288,True,1.0,0.07333175837993622,0.07043642550706863,0.999834418296814,0.01839594915509224,0.9996258020401001,0.9991271495819092,0.024056334048509598,0.04179603233933449,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,5,0.005488934926688671,True,1.0,0.43478450179100037,0.5003434419631958,0.9995721578598022,0.029265860095620155,0.9993724822998047,0.9986327886581421,0.02956783026456833,0.052291154861450195,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,6,3.5674172977451235e-05,True,1.0,0.5874865651130676,0.5878581404685974,0.9998626112937927,0.016591114923357964,0.9998853802680969,0.9997269511222839,0.0132486242800951,0.02341240644454956,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,7,0.00028478680178523064,True,1.0,0.044432565569877625,0.040217068046331406,0.99867844581604,0.05140136554837227,0.9994954466819763,0.9984661936759949,0.025643829256296158,0.056875716894865036,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,8,5.560070349019952e-05,True,1.0,0.011555171571671963,0.012264903634786606,0.9998189806938171,0.020124098286032677,0.9998042583465576,0.9994374513626099,0.01727568730711937,0.0335858128964901,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,9,0.0015198735054582357,True,1.0,0.3126167953014374,0.28111016750335693,0.9995827674865723,0.03052370250225067,0.9995707273483276,0.9987939596176147,0.02624463476240635,0.04921015352010727,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,10,0.0002776801120489836,True,1.0,0.030708886682987213,0.03355124965310097,0.9992943406105042,0.037711817771196365,0.9990607500076294,0.9975354671478271,0.03558211401104927,0.07024016976356506,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,11,3.382725117262453e-05,True,1.0,0.004027589689940214,0.004377188626676798,0.9994542598724365,0.037064310163259506,0.9991146326065063,0.9975596070289612,0.03306499496102333,0.07143761217594147,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,12,1.4691408978251275e-06,True,1.0,0.0034391088411211967,0.0034297234378755093,0.9998419880867004,0.01779789663851261,0.999877393245697,0.9997249841690063,0.014451984316110611,0.0238933265209198,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,13,8.729146065888926e-05,True,1.0,0.023531457409262657,0.022206459194421768,0.9998897910118103,0.01503628771752119,0.9999291896820068,0.9998645186424255,0.010814864188432693,0.016494642943143845,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,14,0.0038851213175803423,True,1.0,3.6903676986694336,3.4647371768951416,0.9998054504394531,0.02013026736676693,0.999748706817627,0.9993852972984314,0.020057158544659615,0.03512394800782204,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,15,0.00047963159158825874,True,1.0,5.18966817855835,5.0639848709106445,0.9991400241851807,0.04158921539783478,0.9997261762619019,0.9992737770080566,0.01958644948899746,0.038111694157123566,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,16,6.526954621222103e-08,True,1.0,1.4305104514278355e-06,1.311301275563892e-06,0.9990212917327881,0.04424276575446129,0.9995437860488892,0.9987362623214722,0.02425309270620346,0.050317227840423584,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,17,6.767465947632445e-07,True,0.8,8.082063141046092e-05,8.904537389753386e-05,0.999919056892395,0.012844272889196873,0.9998841881752014,0.9997390508651733,0.014433319680392742,0.023532554507255554,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,18,4.93915104016196e-06,True,1.0,0.0006432848167605698,0.0005687049706466496,0.998523473739624,0.05579382926225662,0.9994906187057495,0.9987776875495911,0.027530856430530548,0.04976360872387886,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,19,0.00025900802575051785,True,0.8,0.03056795708835125,0.03456009551882744,0.9977725148200989,0.06673586368560791,0.9981049299240112,0.9964584708213806,0.05486258119344711,0.08409322798252106,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,20,1.506384251115378e-06,True,1.0,0.0006603206275030971,0.0006684214458800852,0.9994524121284485,0.03320170193910599,0.9997548460960388,0.9990928769111633,0.019319169223308563,0.04283120110630989,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,21,0.0008427207358181477,True,1.0,7.607156276702881,7.594002723693848,0.9995867013931274,0.02943916991353035,0.9992973804473877,0.9982337951660156,0.033899981528520584,0.059419989585876465,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,22,0.0015199120389297605,True,1.0,1.3179826736450195,1.4104702472686768,0.9992218613624573,0.03955378010869026,0.9996630549430847,0.9988646507263184,0.0221672635525465,0.04764648526906967,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,23,1.792099828890059e-05,True,1.0,0.0025997909251600504,0.002780264476314187,0.9998058080673218,0.02186490036547184,0.9996277093887329,0.9987177848815918,0.02285318449139595,0.050652120262384415,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,24,0.0014837629860267043,True,1.0,0.28381097316741943,0.31590285897254944,0.9996135830879211,0.02849678322672844,0.9991577863693237,0.9975700378417969,0.03328893333673477,0.07033884525299072,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,25,2.235276042483747e-05,True,1.0,0.0008898589294403791,0.0010832638945430517,0.9994423389434814,0.034246258437633514,0.9996892809867859,0.9989827871322632,0.021062206476926804,0.045724011957645416,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,26,0.00011839560465887189,True,0.8,0.00024005869636312127,0.0005550036439672112,0.9918151497840881,0.12775655090808868,0.9976236820220947,0.99159836769104,0.05295911058783531,0.1371789276599884,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,27,7.404491771012545e-05,True,1.0,0.00994442030787468,0.00879757571965456,0.9996809363365173,0.02546011656522751,0.9997624158859253,0.9993165731430054,0.019427739083766937,0.03698502853512764,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,28,0.0015745812561362982,True,1.0,0.748485803604126,0.7551926374435425,0.9996887445449829,0.02514440007507801,0.9991987943649292,0.9979594945907593,0.03334364667534828,0.06442733108997345,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,29,0.006250690668821335,True,0.8,0.22060087323188782,0.17910483479499817,0.9993324279785156,0.03654889389872551,0.999274492263794,0.9983553886413574,0.03365030512213707,0.057463958859443665,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,30,0.0008768009138293564,True,1.0,4.883994102478027,4.513489723205566,0.9983805418014526,0.058746349066495895,0.9989533424377441,0.9978551268577576,0.04351081699132919,0.06808342039585114,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,31,1.1684624951158185e-05,True,1.0,0.0026614980306476355,0.002792746527120471,0.999508261680603,0.03137005865573883,0.9993923306465149,0.9983683824539185,0.03134814649820328,0.058358725160360336,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,32,1.9466833691694774e-06,True,0.8,0.0012931802775710821,0.0012829415500164032,0.9997516870498657,0.022590043023228645,0.9997932314872742,0.9994192123413086,0.01838155835866928,0.035154636949300766,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,33,4.914518285659142e-05,True,1.0,0.011748645454645157,0.012027950957417488,0.9996087551116943,0.027981974184513092,0.9995668530464172,0.9988043308258057,0.025150775909423828,0.04904235154390335,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,34,0.003079054644331336,True,0.8,1.5659189224243164,1.6022634506225586,0.9995101690292358,0.03217964246869087,0.9995341897010803,0.9990831017494202,0.028060980141162872,0.04344012588262558,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,35,6.58711142023094e-05,True,0.8,0.0003943857445847243,0.0003147821989841759,0.997832715511322,0.06627979874610901,0.9990690350532532,0.997970700263977,0.038617171347141266,0.06368231028318405,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,36,1.3110320651321672e-06,True,0.8,4.017272294731811e-05,5.149708886165172e-05,0.9995015263557434,0.03177671507000923,0.9998866319656372,0.999767541885376,0.013962501659989357,0.02205594815313816,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,37,4.447971093668457e-07,True,0.8,1.1205610462639015e-05,1.4543427823809907e-05,0.999796986579895,0.020169178023934364,0.9998072385787964,0.9994346499443054,0.017740629613399506,0.033925265073776245,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,38,3.7516838347073644e-05,True,1.0,0.004647999536246061,0.0052625699900090694,0.9995924234390259,0.028688257560133934,0.9998349547386169,0.9997121095657349,0.017320439219474792,0.02416779287159443,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,39,2.6557281671557575e-06,True,1.0,0.007998460903763771,0.007978947833180428,0.9992009401321411,0.04140235111117363,0.9993469715118408,0.9970694184303284,0.028917476534843445,0.07650784403085709,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,40,6.373566066031344e-07,True,1.0,0.00021884430316276848,0.00021634146105498075,0.9985275268554688,0.05458337813615799,0.9994112253189087,0.998569130897522,0.02852652408182621,0.05363352596759796,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,41,0.004995258059352636,True,0.8,2.243420124053955,2.2248778343200684,0.9995436668395996,0.030336638912558556,0.9996930360794067,0.9988179802894592,0.02045568637549877,0.048643141984939575,6.182478276081383,8.428512818180025
full_indexer_vs_two_path_verifier,streak2_bucket8_m0+head_dynamic_abs_w8_b64_r0.1,Aggressive,code_heldout_3,long-code,8192,42,3.896284397342242e-05,True,1.0,0.0044527905993163586,0.0050444710068404675,0.999575674533844,0.029692912474274635,0.9998148679733276,0.9993996024131775,0.01652756705880165,0.03483331575989723,6.182478276081383,8.428512818180025
