group_type,context,layer,previous_rank_bucket,new_entry_count,fraction
context_layer,16384.0,5.0,rank_2305_4096,230959,0.6295836922506569
context_layer,16384.0,5.0,rank_4097_8192,56781,0.15478241432325457
context_layer,16384.0,5.0,rank_8193_16384,4510,0.01229405414835734
context_layer,16384.0,5.0,rank_16385_plus,0,0.0
context_layer,16384.0,5.0,new_token_no_previous_rank,762,0.0020771772197446326
context_layer,16384.0,8.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,8.0,rank_2049_2304,74883,0.2165468978181345
context_layer,16384.0,8.0,rank_2305_4096,218739,0.6325501366377004
context_layer,16384.0,8.0,rank_4097_8192,47683,0.1378898512167262
context_layer,16384.0,8.0,rank_8193_16384,3738,0.010809560301325892
context_layer,16384.0,8.0,rank_16385_plus,0,0.0
context_layer,16384.0,8.0,new_token_no_previous_rank,762,0.002203554026112983
context_layer,16384.0,11.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,11.0,rank_2049_2304,73120,0.21063183790105605
context_layer,16384.0,11.0,rank_2305_4096,220154,0.6341827357941615
context_layer,16384.0,11.0,rank_4097_8192,50830,0.14642254267656837
context_layer,16384.0,11.0,rank_8193_16384,2280,0.006567841772625927
context_layer,16384.0,11.0,rank_16385_plus,0,0.0
context_layer,16384.0,11.0,new_token_no_previous_rank,762,0.0021950418555881385
context_layer,16384.0,14.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,14.0,rank_2049_2304,71332,0.16942582572882178
context_layer,16384.0,14.0,rank_2305_4096,255694,0.607317432343203
context_layer,16384.0,14.0,rank_4097_8192,88203,0.20949736593337165
context_layer,16384.0,14.0,rank_8193_16384,5034,0.011956619844093658
context_layer,16384.0,14.0,rank_16385_plus,0,0.0
context_layer,16384.0,14.0,new_token_no_previous_rank,759,0.0018027561505099495
context_layer,16384.0,17.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,17.0,rank_2049_2304,69655,0.14711069152901768
context_layer,16384.0,17.0,rank_2305_4096,266114,0.562030214134707
context_layer,16384.0,17.0,rank_4097_8192,122715,0.25917290231833184
context_layer,16384.0,17.0,rank_8193_16384,14238,0.03007051935956003
context_layer,16384.0,17.0,rank_16385_plus,3,6.3359712093468245e-06
context_layer,16384.0,17.0,new_token_no_previous_rank,762,0.0016093366871740935
context_layer,16384.0,21.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,21.0,rank_2049_2304,71040,0.167686776962896
context_layer,16384.0,21.0,rank_2305_4096,250034,0.5901941946951117
context_layer,16384.0,21.0,rank_4097_8192,92611,0.21860416809277536
context_layer,16384.0,21.0,rank_8193_16384,9215,0.02175159979888917
context_layer,16384.0,21.0,rank_16385_plus,0,0.0
context_layer,16384.0,21.0,new_token_no_previous_rank,747,0.0017632604503277493
context_layer,16384.0,25.0,rank_le_2048_audit,0,0.0
context_layer,16384.0,25.0,rank_2049_2304,75164,0.20153205545858435
context_layer,16384.0,25.0,rank_2305_4096,240500,0.6448360829358408
context_layer,16384.0,25.0,rank_4097_8192,55730,0.1494250099875859
context_layer,16384.0,25.0,rank_8193_16384,828,0.0022200593624568657
context_layer,16384.0,25.0,rank_16385_plus,0,0.0
context_layer,16384.0,25.0,new_token_no_previous_rank,741,0.00198679225553205
context,32768.0,,rank_le_2048_audit,0,0.0
context,32768.0,,rank_2049_2304,527843,0.12310072891243838
context,32768.0,,rank_2305_4096,2158867,0.5034794462084543
context,32768.0,,rank_4097_8192,1267691,0.2956441330769527
context,32768.0,,rank_8193_16384,295393,0.06888997981527066
context,32768.0,,rank_16385_plus,32144,0.007496452221894426
context,32768.0,,new_token_no_previous_rank,5957,0.0013892597649895811
