context,method,repeat_count,median_us_mean,median_us_min,median_us_max
8192,full64_score_only,2,22.160000167787,21.5039998292922,22.8160005062818
8192,full64_score_plus_stock_topk,2,56.3200004398822,56.3200004398822,56.3200004398822
8192,stock_topk_only,2,34.816000610589896,34.816000610589896,34.816000610589896
16384,full64_score_only,2,23.152000270783848,22.6240009069442,23.6799996346235
16384,full64_score_plus_stock_topk,2,63.48799914121619,63.48799914121619,63.48799914121619
16384,stock_topk_only,2,58.3680011332035,58.3680011332035,58.3680011332035
32768,full64_score_only,2,23.616000078618452,22.6240009069442,24.607999250292703
32768,full64_score_plus_stock_topk,2,102.2319998592138,101.3759970664978,103.0880026519298
32768,stock_topk_only,2,55.967999622225705,55.2960000932216,56.6399991512298
