context,transitions,cold_admissions_mean,cold_admissions_p95,cold_admissions_p99,cold_admissions_max,warm_admissions_mean,warm_admissions_p95,warm_admissions_p99,warm_admissions_max,admission_reduction_mean,admission_reduction_p5,exact_match_rate
8192,6096,3943.9017388451443,4597.0,4859.150000000001,5292,740.7695209973754,1201.0,1631.1500000000005,2642,0.8094138971570962,0.6793171128375532,1.0
16384,6096,2883.8436679790025,3722.0,4043.05,4378,947.873687664042,1530.25,1993.1500000000005,3010,0.6636504444825849,0.44271178965833946,1.0
32768,6096,4834.198326771653,6182.0,6693.200000000001,7330,1401.9178149606298,2255.0,2863.2000000000007,4601,0.7045495190718836,0.5123453262408522,1.0
