context,start_mode,scores_per_cycle,admission_lanes,transitions,max_fifo_depth_mean,max_fifo_depth_p95,max_fifo_depth_p99,max_fifo_depth_max,final_fifo_depth_p99
32768,cold,8,4,6096,395.9763779527559,785.0,910.0500000000002,1281,69.0
32768,cold,16,1,6096,3459.1386154855645,4899.25,5460.4000000000015,6143,4771.05
32768,cold,16,2,6096,2542.903215223097,3833.0,4359.4000000000015,5037,2844.3500000000013
32768,cold,16,4,6096,1347.70062335958,2319.0,2593.0,3171,132.0
32768,warm,1,1,6096,0.0,0.0,0.0,0,0.0
32768,warm,1,2,6096,0.0,0.0,0.0,0,0.0
32768,warm,1,4,6096,0.0,0.0,0.0,0,0.0
32768,warm,2,1,6096,11.813320209973753,34.0,97.15000000000055,539,2.0
32768,warm,2,2,6096,0.0,0.0,0.0,0,0.0
32768,warm,2,4,6096,0.0,0.0,0.0,0,0.0
32768,warm,4,1,6096,73.82841207349081,253.0,469.40000000000146,1021,18.0
32768,warm,4,2,6096,11.45751312335958,34.0,97.15000000000055,539,1.0
32768,warm,4,4,6096,0.0,0.0,0.0,0,0.0
32768,warm,8,1,6096,208.29101049868765,536.25,910.1500000000005,1969,45.05000000000018
32768,warm,8,2,6096,73.39927821522309,253.0,468.40000000000146,1020,18.0
32768,warm,8,4,6096,10.939468503937007,33.0,96.20000000000073,539,0.0
32768,warm,16,1,6096,427.563156167979,1029.0,1592.0500000000002,3208,813.0
32768,warm,16,2,6096,207.91568241469815,536.0,910.1500000000005,1969,44.05000000000018
32768,warm,16,4,6096,72.76804461942257,252.25,468.40000000000146,1020,16.050000000000182
