method,classification,candidate_fraction,qk_reduction_median,top128_recall,top512_recall,top2048_recall,newly_active_token_recall,mla_relative_l2_p95,mla_relative_l2_p99,mla_cosine_p5,logit_kl_mean,ppl_delta,scope_note
"Temporal progressive H8, dynamic_abs_w, r0.1",APPROXIMATE,0.8093468016078282,0.1398273473626906,0.9999803491360456,0.9997022466918196,0.9958754545330272,0.5491543726013804,0.0261291960254311,0.0918454685807232,0.999662172794342,0.0024889039901007,-0.0044188011267813,locked sidecar replay; all contexts/layers
Existing H8 + 10% H56 rescue,APPROXIMATE,,0.2012517344586833,0.9999529520670573,0.9996360143025717,0.9955548445383708,,0.0259577026590704,0.0801554683595896,0.9996662437915802,0.0025926091533065,-0.0049539577363405,existing held-out first-64-step GPU replay
