group_type,context,layer,phase,transitions,overlap_mean,overlap_median,overlap_p5,overlap_p1,new_entries_mean,new_entries_p95,new_entries_p99,new_entries_max,warm_admission_upper_mean,warm_admission_upper_p95,warm_admission_upper_p99,warm_admission_upper_max,seed_to_final_threshold_gap_mean,unsafe_previous_threshold_misses_total,new_token_entries_total
overall,,,,18288,0.7354607369330298,0.75048828125,0.5556640625,0.4442724609375,541.7764107611548,910.0,1138.130000000001,1492,7381.389709098863,17710.24999999999,23638.13,30552,2.077493857514123,3216180,18110
context,8192.0,,,6096,0.8007504921259843,0.80908203125,0.6898193359375,0.6093505859375,408.06299212598424,635.25,800.0500000000002,1082,3577.030183727034,5418.0,5957.250000000001,6254,1.949381348967865,890604,6096
context,16384.0,,,6096,0.7490862348261155,0.75830078125,0.61083984375,0.517529296875,513.8713910761155,797.0,988.1000000000004,1374,6105.176509186352,10905.0,13142.050000000003,14319,2.086220243246615,1005073,6057
context,32768.0,,,6096,0.6565454838469899,0.668701171875,0.484375,0.387646484375,703.3948490813648,1056.0,1254.1000000000004,1492,12461.962434383202,21777.25,26156.35000000003,30552,2.196879980327889,1320503,5957
layer,,2.0,,2286,0.7489187752898075,0.75537109375,0.6392822265625,0.5775390625,514.2143482064741,738.75,865.2000000000007,1005,7761.639545056868,16482.25,21097.40000000001,25566,2.6539969914906503,347322,2286
layer,,5.0,,2286,0.7538746377405949,0.7705078125,0.5919189453125,0.4612060546875,504.0647419072616,835.75,1103.4500000000003,1448,6648.372265966754,15891.5,20979.00000000005,30552,2.1074267877159887,355143,2286
layer,,8.0,,2286,0.7398872809355862,0.765869140625,0.5179443359375,0.387255859375,532.7108486439195,987.25,1254.9000000000005,1492,6634.95406824147,17261.5,23933.000000000004,28866,2.2944160304565964,344153,2277
layer,,11.0,,2286,0.7688520136154856,0.78125,0.6156005859375,0.5255126953125,473.3910761154856,787.25,971.7500000000005,1292,6179.0157480314965,14322.25,20552.350000000006,27151,1.7793498468941382,348850,2286
layer,,14.0,,2286,0.7286565985892388,0.7431640625,0.55078125,0.4651611328125,555.7112860892388,920.0,1095.3500000000008,1320,7857.087489063867,18292.0,23663.65,28496,1.9883862326047135,449829,2268
layer,,17.0,,2286,0.6954451433316929,0.707275390625,0.4971923828125,0.40185546875,623.7283464566929,1029.75,1225.0,1442,8760.831146106737,20138.75,25838.3,30184,2.1608201074475066,506130,2269
layer,,21.0,,2286,0.7187856705900044,0.73388671875,0.5345458984375,0.4498046875,575.9269466316711,953.25,1126.800000000001,1466,7893.167104111986,18732.0,25078.850000000002,29516,1.8146062735810367,489900,2179
layer,,25.0,,2286,0.7292657753718286,0.744140625,0.544921875,0.455615234375,554.4636920384952,932.0,1114.9000000000005,1395,7316.050306211723,18929.25,23447.900000000012,28335,1.8209485899223534,374853,2259
context_layer,8192.0,2.0,,762,0.7967346671998031,0.79833984375,0.7353515625,0.71310546875,416.28740157480314,542.0,587.56,648,3944.1102362204724,5215.349999999999,5589.51,5956,2.5953224862967263,99909,762
context_layer,8192.0,5.0,,762,0.8191815073408792,0.82861328125,0.7075439453125,0.6210107421875,370.31627296587925,598.9499999999999,776.17,878,3249.6377952755906,5388.849999999999,6073.39,6244,2.007438279199475,100173,762
context_layer,8192.0,8.0,,762,0.8032873759432415,0.81689453125,0.6610351562500001,0.56732421875,402.86745406824144,694.1999999999989,886.1199999999999,1002,3505.1364829396325,5635.75,6166.46,6254,2.1481606791338583,107980,762
context_layer,8192.0,11.0,,762,0.8290060849327427,0.83837890625,0.7271728515625,0.667802734375,350.1955380577428,558.7499999999997,680.3399999999999,817,3202.809711286089,5291.9,5855.759999999998,6213,1.662596374671916,98809,762
context_layer,8192.0,14.0,,762,0.8126941590797244,0.816162109375,0.7354248046875,0.6941455078125,383.6023622047244,541.8499999999998,626.39,749,3468.3070866141734,5243.95,5589.87,5847,1.8413765173884515,113371,762
context_layer,8192.0,17.0,,762,0.7696901656824147,0.77685546875,0.653466796875,0.5808642578125,471.6745406824147,709.6999999999996,858.39,1082,4082.6286089238847,5715.95,6097.95,6210,1.9708927985564304,129723,762
context_layer,8192.0,21.0,,762,0.7786317359744095,0.78955078125,0.6392333984375,0.5803759765625,453.3622047244094,738.8499999999998,859.39,1068,3743.8687664041995,5504.0,5906.9,6132,1.6830144767060367,131358,762
context_layer,8192.0,25.0,,762,0.7967782408546588,0.8017578125,0.6934326171875,0.628466796875,416.1981627296588,627.8499999999998,760.8999999999999,862,3419.742782152231,5185.899999999999,5731.7699999999995,6075,1.6862491797900263,109281,762
context_layer,16384.0,2.0,,762,0.7554454252788714,0.75537109375,0.685546875,0.64572265625,500.84776902887137,644.0,725.56,963,7235.40157480315,10957.849999999999,12401.209999999995,13419,2.674934728330202,106399,762
context_layer,16384.0,5.0,,762,0.7649303846784777,0.777099609375,0.64599609375,0.568359375,481.4225721784777,725.0,884.0,1088,5423.631233595801,8901.55,12967.469999999996,14214,2.0854024411499346,108940,762
context_layer,16384.0,8.0,,762,0.7784119453330053,0.791748046875,0.630517578125,0.5383984375,453.81233595800524,756.6999999999996,945.3599999999997,1374,4578.937007874016,9077.149999999996,12838.419999999995,14256,2.2913097471702755,91971,762
context_layer,16384.0,11.0,,762,0.7775526472276902,0.791015625,0.6538330078125,0.5591064453125,455.5721784776903,708.9499999999999,902.9499999999999,1020,5348.4094488188975,9740.749999999996,12036.02,13518,1.7601097287155512,112734,762
context_layer,16384.0,14.0,,762,0.730213715961286,0.74072265625,0.6108642578125,0.5408251953125,552.5223097112861,796.9499999999999,940.39,1135,6715.383202099738,10771.399999999994,12737.399999999998,13954,1.9960296710958005,146630,759
context_layer,16384.0,17.0,,762,0.6965947188730315,0.70751953125,0.5274169921875,0.4452783203125,621.3740157480315,967.8499999999998,1136.0699999999997,1307,7885.46062992126,12721.049999999994,13839.209999999997,14319,2.205791963992782,173950,762
context_layer,16384.0,21.0,,762,0.7285316447260499,0.74755859375,0.5493408203125,0.4882470703125,555.9671916010499,922.9499999999999,1048.0699999999997,1159,6708.077427821522,11693.049999999983,13219.92,14199,1.8476075500328084,160568,747
context_layer,16384.0,25.0,,762,0.7610093965305118,0.7607421875,0.654345703125,0.610078125,489.4527559055118,707.8999999999999,798.56,1021,4946.1115485564305,8441.699999999999,9883.85,11222,1.8285761154855642,103881,741
context_layer,32768.0,2.0,,762,0.694576233390748,0.69921875,0.59716796875,0.5536279296875,625.507874015748,825.0,914.17,1005,12105.406824146981,20112.05,23044.629999999997,25566,2.6917337598450226,141014,762
context_layer,32768.0,5.0,,762,0.6775120212024278,0.690673828125,0.5041015625,0.4024169921875,660.4553805774278,1015.5999999999995,1223.85,1448,11271.847769028871,19482.3,29486.77,30552,2.2294396427985563,146030,762
context_layer,32768.0,8.0,,762,0.6379625215305118,0.65673828125,0.4326416015625,0.3568896484375,741.4527559055118,1161.9499999999998,1317.0899999999997,1492,11820.78871391076,21562.499999999993,25872.089999999997,28866,2.4437776650656553,144202,753
context_layer,32768.0,11.0,,762,0.6999973086860236,0.7109375,0.5576904296875,0.4779736328125,614.4055118110236,905.8499999999998,1069.1099999999992,1292,9985.828083989501,18901.949999999983,23409.5,27151,1.9153434372949476,137307,762
context_layer,32768.0,14.0,,762,0.643061920726706,0.6513671875,0.49072265625,0.4347021484375,731.009186351706,1043.0,1157.73,1320,13387.57217847769,22212.399999999987,25007.77,28496,2.1277525093298886,189828,747
context_layer,32768.0,17.0,,762,0.6200505454396326,0.627197265625,0.4277587890625,0.363388671875,778.1364829396325,1171.9499999999998,1303.78,1442,14314.404199475066,24319.99999999999,28060.199999999997,30184,2.305775559793307,202457,745
context_layer,32768.0,21.0,,762,0.6491936310695539,0.657470703125,0.4980712890625,0.39615234375,718.4514435695538,1027.9499999999998,1236.6799999999998,1466,13227.555118110236,23563.049999999985,27272.709999999992,29516,1.9131967940042651,197974,670
context_layer,32768.0,25.0,,762,0.6300096887303149,0.63671875,0.482421875,0.41259765625,757.7401574803149,1060.0,1203.0,1395,13582.296587926508,21830.85,25565.84,28335,1.9480204744914698,161691,756
