context,block_size,promotion_target,topk,fused_compact_plus_topk,fused_dense_plus_topk,candidate_fraction,qk_reduction,compact_speedup_vs_dense
8192,32,0.05,512,0.0706560015678405,0.0624639987945556,0.94921875,0.04443359375,0.8840579343366984
8192,32,0.05,1024,0.0706560015678405,0.061439998447895,0.94921875,0.04443359375,0.8695651761287859
8192,32,0.05,2048,0.0706560015678405,0.0634879991412162,0.94921875,0.04443359375,0.8985506925446108
8192,32,0.1,512,0.0706560015678405,0.0624639987945556,0.94921875,0.04443359375,0.8840579343366984
8192,32,0.1,1024,0.0706560015678405,0.0604160018265247,0.94921875,0.04443359375,0.8550724706452028
8192,32,0.1,2048,0.0706560015678405,0.0634879991412162,0.94921875,0.04443359375,0.8985506925446108
8192,32,0.15,512,0.072207998484373,0.061439998447895,0.953125,0.041015625,0.8508752456445893
8192,32,0.15,1024,0.0696320012211799,0.0634879991412162,0.953125,0.041015625,0.9117646775589886
8192,32,0.15,2048,0.0696320012211799,0.061439998447895,0.953125,0.041015625,0.8823529034119854
8192,32,0.2,512,0.0686080008745193,0.0624639987945556,0.95703125,0.03759765625,0.9104477320188824
8192,32,0.2,1024,0.0701440013945102,0.0624319985508918,0.95703125,0.03759765625,0.8900547061716103
8192,32,0.2,2048,0.0686080008745193,0.0604160018265247,0.95703125,0.03759765625,0.8805970303233674
8192,64,0.05,512,0.0681600011885166,0.0602880008518695,0.953125,0.041015625,0.8845070393283186
8192,64,0.05,1024,0.0706560015678405,0.0634879991412162,0.953125,0.041015625,0.8985506925446108
8192,64,0.05,2048,0.0686080008745193,0.0624319985508918,0.953125,0.041015625,0.9099813105628436
8192,64,0.1,512,0.0674879997968673,0.0593920014798641,0.953125,0.041015625,0.8800379572461561
8192,64,0.1,1024,0.0696320012211799,0.0624639987945556,0.953125,0.041015625,0.897058790485487
8192,64,0.1,2048,0.0706240013241767,0.0624639987945556,0.953125,0.041015625,0.8844585073541041
8192,64,0.15,512,0.0665600001811981,0.0593920014798641,0.953125,0.041015625,0.8923077121120738
8192,64,0.15,1024,0.0696320012211799,0.0624639987945556,0.953125,0.041015625,0.897058790485487
8192,64,0.15,2048,0.0705120004713535,0.0624639987945556,0.953125,0.041015625,0.885863376120388
8192,64,0.2,512,0.0667040012776851,0.0593920014798641,0.953125,0.041015625,0.8903813915542856
8192,64,0.2,1024,0.0686080008745193,0.0624639987945556,0.953125,0.041015625,0.9104477320188824
8192,64,0.2,2048,0.0716800019145011,0.0624639987945556,0.953125,0.041015625,0.8714285313365613
8192,128,0.05,512,0.0706560015678405,0.0624639987945556,0.96875,0.02734375,0.8840579343366984
8192,128,0.05,1024,0.0706560015678405,0.060623999685049,0.96875,0.02734375,0.8580162808511141
8192,128,0.05,2048,0.0675840005278587,0.0623360015451908,0.96875,0.02734375,0.9223485005078289
8192,128,0.1,512,0.0696320012211799,0.062399998307228,0.96875,0.02734375,0.8961396658559319
8192,128,0.1,1024,0.0715680010616779,0.061439998447895,0.96875,0.02734375,0.8584842043435794
8192,128,0.1,2048,0.0685920007526874,0.0624639987945556,0.96875,0.02734375,0.9106601077255834
8192,128,0.15,512,0.0706560015678405,0.0623360015451908,0.96875,0.02734375,0.882246379103957
8192,128,0.15,1024,0.0706400014460086,0.0604160018265247,0.96875,0.02734375,0.8552661465147579
8192,128,0.15,2048,0.0686080008745193,0.0624479986727237,0.96875,0.02734375,0.910214521290863
8192,128,0.2,512,0.0706400014460086,0.0624639987945556,0.96875,0.02734375,0.8842581754800493
8192,128,0.2,1024,0.0706560015678405,0.0604160018265247,0.96875,0.02734375,0.8550724706452028
8192,128,0.2,2048,0.0665600001811981,0.061439998447895,0.96875,0.02734375,0.9230768972451204
16384,32,0.05,512,0.0684639997780323,0.0563200004398822,0.71875,0.24609375,0.8226221170611963
16384,32,0.05,1024,0.0655359998345375,0.0655359998345375,0.71875,0.24609375,1.0
16384,32,0.05,2048,0.0716800019145011,0.0727040022611618,0.71875,0.24609375,1.0142857187403833
