context,layer,method,scope,block_size,promotion_target,topk,warmup,measurements,kernel_launches,median_ms,p5_ms,p95_ms,mean_ms,std_ms
8192,17,full_kernel,kernel,32,0.05,512,50,500,1,0.0133119998499751,0.011455999687314,0.019463999196887,0.0137833600528538,0.0034097709393907
8192,17,full_plus_topk,indexer_topk,32,0.05,512,50,500,2,0.0440320000052452,0.0409599989652633,0.0481280013918876,0.0446264320239424,0.0039592820672385
8192,17,full_kernel,kernel,32,0.05,1024,50,500,1,0.012288000434637,0.0112640000879764,0.0153599996119737,0.0127215361353009,0.0023186006816729
8192,17,full_plus_topk,indexer_topk,32,0.05,1024,50,500,2,0.0430079996585845,0.0399359986186027,0.0460800006985664,0.0426691196709871,0.0024604890427063
8192,17,full_kernel,kernel,32,0.05,2048,50,500,1,0.0124479997903108,0.0112640000879764,0.0153599996119737,0.0130047360770404,0.0018357268873512
8192,17,full_plus_topk,indexer_topk,32,0.05,2048,50,500,2,0.0409599989652633,0.0396800003945827,0.047104001045227,0.0423764475807547,0.0031054835987235
8192,17,full_kernel,kernel,32,0.1,512,50,500,1,0.0123840002343058,0.0112640000879764,0.015299200033769,0.0130342400912195,0.0021856007755116
8192,17,full_plus_topk,indexer_topk,32,0.1,512,50,500,2,0.0430079996585845,0.0399359986186027,0.0462144015356898,0.0432310398221015,0.0025495431323993
8192,17,full_kernel,kernel,32,0.1,1024,50,500,1,0.012288000434637,0.0112640000879764,0.0151696000248193,0.0128182400967925,0.0018961702095477
8192,17,full_plus_topk,indexer_topk,32,0.1,1024,50,500,2,0.0431040003895759,0.0399359986186027,0.047104001045227,0.0434945917576551,0.0029771562302511
8192,17,full_kernel,kernel,32,0.1,2048,50,500,1,0.012288000434637,0.0112303998321294,0.0143360001966357,0.0123618561178445,0.0018834084190843
8192,17,full_plus_topk,indexer_topk,32,0.1,2048,50,500,2,0.0419839993119239,0.0396800003945827,0.0481280013918876,0.0428858235627412,0.0038150292636226
8192,17,full_kernel,kernel,32,0.15,512,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0125951361265033,0.0021166456341172
8192,17,full_plus_topk,indexer_topk,32,0.15,512,50,500,2,0.0430079996585845,0.0399359986186027,0.0469824001193046,0.0433248636871576,0.0027109099702691
8192,17,full_kernel,kernel,32,0.15,1024,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0125331841483712,0.0017626800482534
8192,17,full_plus_topk,indexer_topk,32,0.15,1024,50,500,2,0.0430079996585845,0.0399359986186027,0.0460800006985664,0.0425952635705471,0.0024902779946509
8192,17,full_kernel,kernel,32,0.15,2048,50,500,1,0.012288000434637,0.0112640000879764,0.0135375997051596,0.0124732801262289,0.0018295476926638
8192,17,full_plus_topk,indexer_topk,32,0.15,2048,50,500,2,0.0409599989652633,0.0389119982719421,0.0460800006985664,0.0421075194776058,0.0031192307872571
8192,17,full_kernel,kernel,32,0.2,512,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0126174081098288,0.0017231764563832
8192,17,full_plus_topk,indexer_topk,32,0.2,512,50,500,2,0.0419839993119239,0.0389119982719421,0.0460800006985664,0.0426701436191797,0.0028873804650132
8192,17,full_kernel,kernel,32,0.2,1024,50,500,1,0.0114240003749728,0.010398400016129,0.0133119998499751,0.0120059520937502,0.0020296133210532
8192,17,full_plus_topk,indexer_topk,32,0.2,1024,50,500,2,0.0427680015563964,0.0399359986186027,0.0440320000052452,0.0422685435265302,0.0020524635217035
8192,17,full_kernel,kernel,32,0.2,2048,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0125195521228015,0.003221020991805
8192,17,full_plus_topk,indexer_topk,32,0.2,2048,50,500,2,0.0409599989652633,0.0389119982719421,0.0461504010483622,0.0421450874432921,0.0030587052397043
8192,17,full_kernel,kernel,64,0.05,512,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0128566401302814,0.0026329348071604
8192,17,full_plus_topk,indexer_topk,64,0.05,512,50,500,2,0.0430079996585845,0.0399359986186027,0.047104001045227,0.0436251518502831,0.0034732657037714
8192,17,full_kernel,kernel,64,0.05,1024,50,500,1,0.0121600003913044,0.0110128002241253,0.0143055999651551,0.0122420481164008,0.0022393603079842
8192,17,full_plus_topk,indexer_topk,64,0.05,1024,50,500,2,0.0419839993119239,0.0389119982719421,0.0460800006985664,0.0420117755234241,0.0028385663952263
8192,17,full_kernel,kernel,64,0.05,2048,50,500,1,0.012288000434637,0.0112640000879764,0.0143360001966357,0.0124609281532466,0.0017241951718264
8192,17,full_plus_topk,indexer_topk,64,0.05,2048,50,500,2,0.0409599989652633,0.0389119982719421,0.0460800006985664,0.0420193274468183,0.0032989520514109
8192,17,full_kernel,kernel,64,0.1,512,50,500,1,0.012288000434637,0.0111664002761244,0.0133135998621582,0.0121350401435047,0.0017063844100601
8192,17,full_plus_topk,indexer_topk,64,0.1,512,50,500,2,0.0419839993119239,0.0389119982719421,0.0460800006985664,0.0459416316673159,0.0733058383508392
8192,17,full_kernel,kernel,64,0.1,1024,50,500,1,0.012288000434637,0.0112640000879764,0.0135631997138261,0.0122105601392686,0.0016417090690056
8192,17,full_plus_topk,indexer_topk,64,0.1,1024,50,500,2,0.0419839993119239,0.0389119982719421,0.0458671990782022,0.0420387834385037,0.0026731718598901
8192,17,full_kernel,kernel,64,0.1,2048,50,500,1,0.0133119998499751,0.0112640000879764,0.0184320006519556,0.0140636160764843,0.0044624673719348
8192,17,full_plus_topk,indexer_topk,64,0.1,2048,50,500,2,0.0407840013504028,0.038816001266241,0.0460800006985664,0.0415503353700041,0.0034780819950315
8192,17,full_kernel,kernel,64,0.15,512,50,500,1,0.011392000131309,0.0104000000283122,0.0133119998499751,0.0119296001046895,0.0016765398359426
