context,layer,method,scope,block_size,promotion_target,topk,warmup,measurements,kernel_launches,median_ms,p5_ms,p95_ms,mean_ms,std_ms
8192,17,fused_dense_kernel,kernel,32,0.05,512,50,500,1,0.0217599999159574,0.0206080004572868,0.0255999993532896,0.0225017599873244,0.0026800018159864
8192,17,fused_dense_plus_topk,indexer_topk,32,0.05,512,50,500,2,0.0624639987945556,0.0593920014798641,0.0655359998345375,0.0625477758049964,0.0026353827483867
8192,17,fused_compact_plus_topk,indexer_topk,32,0.05,512,50,500,3,0.0706560015678405,0.0665600001811981,0.074752002954483,0.0706693772375583,0.0040062757296519
8192,17,fused_dense_kernel,kernel,32,0.05,1024,50,500,1,0.020703999325633,0.0196480005979537,0.0235520005226135,0.0213946878202259,0.0020154227294715
8192,17,fused_dense_plus_topk,indexer_topk,32,0.05,1024,50,500,2,0.061439998447895,0.0551951993256807,0.0686080008745193,0.0621011202484369,0.0056220667282422
8192,17,fused_compact_plus_topk,indexer_topk,32,0.05,1024,50,500,3,0.0706560015678405,0.0655359998345375,0.074752002954483,0.0700429451316595,0.0037075531828365
8192,17,fused_dense_kernel,kernel,32,0.05,2048,50,500,1,0.0205439999699592,0.019455999135971,0.0225280001759529,0.0211002237461507,0.0016742515906976
8192,17,fused_dense_plus_topk,indexer_topk,32,0.05,2048,50,500,2,0.0634879991412162,0.054271999746561,0.0676224008202552,0.0623232638984918,0.0051283363998003
8192,17,fused_compact_plus_topk,indexer_topk,32,0.05,2048,50,500,3,0.0706560015678405,0.0655359998345375,0.0768000036478042,0.0710140173584222,0.004178514636117
8192,17,fused_dense_kernel,kernel,32,0.1,512,50,500,1,0.0204799994826316,0.019455999135971,0.0225280001759529,0.0209352957829833,0.0016151019872886
8192,17,fused_dense_plus_topk,indexer_topk,32,0.1,512,50,500,2,0.0624639987945556,0.0585263986140489,0.0655359998345375,0.0621855997368693,0.0026922010318789
8192,17,fused_compact_plus_topk,indexer_topk,32,0.1,512,50,500,3,0.0706560015678405,0.0665600001811981,0.0727088022977113,0.0704442892670631,0.0029715051081214
8192,17,fused_dense_kernel,kernel,32,0.1,1024,50,500,1,0.0215039998292922,0.0204783994704484,0.0235520005226135,0.0217663998827338,0.0027435218951334
8192,17,fused_dense_plus_topk,indexer_topk,32,0.1,1024,50,500,2,0.0604160018265247,0.054271999746561,0.0686080008745193,0.0615456643700599,0.0054724098445488
8192,17,fused_compact_plus_topk,indexer_topk,32,0.1,1024,50,500,3,0.0706560015678405,0.0655359998345375,0.0739839971065521,0.07014976118505,0.0030743628951422
8192,17,fused_dense_kernel,kernel,32,0.1,2048,50,500,1,0.020576000213623,0.019455999135971,0.0225280001759529,0.0210903677307069,0.0017468720243438
