policy,policy_role,rescue,rescue_blocks,missed_blocks,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,top128_recall,top512_recall,top2048_recall
streak2_bucket8_m0,Aggressive,best2,2,6,3,2,code_heldout_3,long-code,16384,16388,0.999999463558197,0.0010412809206172824,0.00048828125,1.0,1.0,0.99755859375
streak2_bucket8_m0,Aggressive,best4,4,6,3,2,code_heldout_3,long-code,16384,16388,0.9999996423721313,0.0008658077567815781,0.00048828125,1.0,1.0,0.99853515625
streak2_bucket8_m0,Aggressive,best8,6,6,3,2,code_heldout_3,long-code,16384,16388,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,all,6,6,3,2,code_heldout_3,long-code,16384,16388,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,9,4,2,code_heldout_3,long-code,16384,16389,0.9999890327453613,0.004775091540068388,0.001708984375,1.0,1.0,0.9921875
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,9,4,2,code_heldout_3,long-code,16384,16389,0.9999959468841553,0.002922079525887966,0.0009765625,1.0,1.0,0.9931640625
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,9,4,2,code_heldout_3,long-code,16384,16389,0.9999968409538269,0.0025361068546772003,0.0009765625,1.0,1.0,0.99462890625
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,9,4,2,code_heldout_3,long-code,16384,16389,0.999997079372406,0.002464931458234787,0.0009765625,1.0,1.0,0.99658203125
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,9,4,2,code_heldout_3,long-code,16384,16389,0.9999977946281433,0.0021539379376918077,0.00048828125,1.0,1.0,0.99951171875
streak2_bucket8_m-0.75_refresh8,Balanced,all,9,9,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best1,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best2,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best4,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,best8,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,all,0,0,4,2,code_heldout_3,long-code,16384,16389,1.0000001192092896,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m-0.75_refresh8,Balanced,0,0,20,5,2,code_heldout_3,long-code,16384,16390,0.9999940395355225,0.003478006925433874,0.0009765625,1.0,0.998046875,0.98291015625
streak2_bucket8_m-0.75_refresh8,Balanced,best1,1,20,5,2,code_heldout_3,long-code,16384,16390,0.9999949932098389,0.003173212520778179,0.0009765625,1.0,0.998046875,0.98388671875
streak2_bucket8_m-0.75_refresh8,Balanced,best2,2,20,5,2,code_heldout_3,long-code,16384,16390,0.9999979138374329,0.0020587779581546783,0.0009765625,1.0,0.998046875,0.98486328125
streak2_bucket8_m-0.75_refresh8,Balanced,best4,4,20,5,2,code_heldout_3,long-code,16384,16390,0.9999979734420776,0.0019995502661913633,0.0009765625,1.0,0.998046875,0.9873046875
streak2_bucket8_m-0.75_refresh8,Balanced,best8,8,20,5,2,code_heldout_3,long-code,16384,16390,0.9999985694885254,0.0016846760408952832,0.00048828125,1.0,0.998046875,0.99072265625
streak2_bucket8_m-0.75_refresh8,Balanced,all,20,20,5,2,code_heldout_3,long-code,16384,16390,1.0,0.0,0.0,1.0,1.0,1.0
streak2_bucket8_m0,Aggressive,0,0,15,5,2,code_heldout_3,long-code,16384,16390,0.9999970197677612,0.0024434381630271673,0.00146484375,1.0,1.0,0.98681640625
streak2_bucket8_m0,Aggressive,best1,1,15,5,2,code_heldout_3,long-code,16384,16390,0.9999977350234985,0.0021278613712638617,0.0009765625,1.0,1.0,0.98779296875
streak2_bucket8_m0,Aggressive,best2,2,15,5,2,code_heldout_3,long-code,16384,16390,0.9999979734420776,0.0020263937767595053,0.00048828125,1.0,1.0,0.98828125
