layer,t1_a_h8,t1_b_previous_full,t1_c_intercept,affine_a_h8,affine_c_intercept,margin_band,calibration_observations
2,0.9623968427975442,0.40313565309461186,-0.1691278445883435,1.3575303160073513,-0.7119221880584471,1.2568359375,1554336
5,0.8623421792318987,0.35753657008461204,-0.692992093870403,1.1497039370838549,-1.850430402791003,1.1484375,1554336
8,1.0444694415960218,0.2642935542153692,-1.0839990512879487,1.3159020229587188,-1.8002577482490159,1.03515625,1554336
11,0.9352725676866164,0.29652354660463504,-0.5825151423427657,1.203591957178516,-1.3431268281900142,1.125,1554336
14,0.9644229030636869,0.3323735374647714,-0.6981561476477823,1.2537149972081674,-1.6800268468352415,1.09375,1554336
17,1.0660107480357122,0.3720620120859184,-0.5232919960537625,1.345595779912937,-2.1697027114571794,0.91015625,1554336
21,1.2086397772083766,0.256790425104176,-0.34478948563721534,1.4934653153965403,-0.968181201605854,0.71875,1554336
25,0.9850971276707108,0.28306637094359194,-1.2642065722832352,1.2380846564794699,-2.1042007839362262,0.912109375,1554336
