split,scope,method,observations,qk_reduction,temporal_exact_fraction,top2048_recall,top2048_precision,exact_top2048_match_rate,top128_recall,top512_recall,top1024_recall,weighted_recall,worst_false_negative_score,worst_false_negative_threshold_gap,teacher_attention_mass_ratio
test,hybrid_temporal_hot_full_cold_h8,layer_affine_h8,12192,0.24340626745461796,0.7218214086232937,0.9794493747821317,0.9794493747821317,0.13221784776902887,0.9992099071112205,0.9968697455298556,0.993078276867003,0.9896353028933803,4.1953125,2.9189453125,0.9980440579030447
test,hybrid_temporal_hot_full_cold_h8,raw_h8,12192,0.13030632529408037,0.8510784853781939,0.8311147214233718,0.8311147214233718,0.12401574803149606,0.9973522596784777,0.9833473345739009,0.9562869735277231,0.9215251404314783,3.96875,3.11328125,0.9871912976720003
test,hybrid_temporal_hot_full_cold_h8,t1_layer,12192,0.23091306267469483,0.7360993569432058,0.9860264735584809,0.9860264735584809,0.12713254593175852,0.9996802462680446,0.9985372388143865,0.9962346434906086,0.9932216984353772,3.96875,3.2158203125,0.998672007349598
test,pure_no_h56,global_affine_h8,12192,0.875,0.0,0.7598506096466946,0.7598506096466946,0.0,0.9952075387549213,0.973318345277641,0.9217767990793143,0.9030057077273191,7.45703125,6.623046875,0.9754515261366363
test,pure_no_h56,layer_affine_h8,12192,0.875,0.0,0.7598506496960097,0.7598506496960097,0.0,0.9952075387549213,0.973318345277641,0.9217767990793143,0.9030057265276237,7.45703125,6.623046875,0.9754515258202368
test,pure_no_h56,mass_affine_h8,12192,0.875,0.0,0.7598506096466946,0.7598506096466946,0.0,0.9952075387549213,0.973318345277641,0.9217767990793143,0.9030057082033303,7.45703125,6.623046875,0.9754515263935535
test,pure_no_h56,mass_normalized_h8,12192,0.875,0.0,0.7598506096466946,0.7598506096466946,0.0,0.9952075387549213,0.973318345277641,0.9217767990793143,0.9030057091397244,7.45703125,6.623046875,0.9754515261620474
test,pure_no_h56,prev_full,12192,1.0,0.0,0.731533981683686,0.731533981683686,0.0,0.9813998164780183,0.9513742041400098,0.8898248947824393,0.8633951072256254,12.65625,13.5546875,0.9429528028627768
test,pure_no_h56,raw_h8,12192,0.875,0.0,0.7598506096466946,0.7598506096466946,0.0,0.9952075387549213,0.973318345277641,0.9217767990793143,0.9030057091397244,7.45703125,6.623046875,0.9754515261620474
test,pure_no_h56,t1_global,12192,0.875,0.0,0.8215149406373031,0.8215149406373031,0.0,0.9990042138287402,0.99309341550812,0.96697357257833,0.9318483705175427,7.45703125,6.623046875,0.9886006678062548
test,pure_no_h56,t1_layer,12192,0.875,0.0,0.8200455312653789,0.8200455312653789,0.0,0.9992201597358924,0.9933039147084154,0.966712370945087,0.9313578010615429,8.15625,7.784423828125,0.9880905197936474
test,pure_no_h56,t2_residual_layer,12192,0.875,0.0,0.8200455312653789,0.8200455312653789,0.0,0.9992201597358924,0.9933039147084154,0.966712370945087,0.9313578010615429,8.15625,7.784423828125,0.9880905197936474
test,pure_no_h56,t3_delta_layer,12192,0.875,0.0,0.8101714527200213,0.8101714527200213,0.0,0.9977046936515748,0.9887857111733104,0.9572122729043635,0.9237472104092923,8.3359375,7.784423828125,0.9893952127077212
test,pure_no_h56,t4_margin_layer,12192,0.875,0.0,0.8157251713469899,0.8157251713469899,0.0,0.999145828207021,0.992004714925771,0.9633022518608514,0.9281767995221766,7.45703125,6.623046875,0.9911598015836047
