condition,observations,quantile_sample_count,mean,std,p50,p90,p95,p99,p99_9
all,233826304,390144,-2.141929066332737,1.3054001841626166,-2.0271434783935547,-0.27702033519744845,0.577339994907379,2.252813963890078,5.755415981292742
near_top2048_threshold,6242304,390144,-1.423856389740717,1.1097011005415545,-1.34781014919281,-0.13352043628692628,0.33087886869907374,1.2092820167541505,2.036952900171285
newly_active,6691323,390144,-1.1884887396182449,1.09428467296465,-1.2247103452682495,0.02603211402893091,0.5407892078161236,1.478110408782959,2.350741153240212
temporal_cold,80155456,374176,-2.4627803295686106,1.2467822036135845,-2.7650076150894165,-1.281881868839264,-0.916405588388443,-0.19934126734733582,0.8768577888608027
temporal_hot,153670848,390144,-1.9745714988593779,1.3039931943520675,-1.8269250392913818,-0.16458796858787483,0.652917078137397,2.2725862455368047,5.755415981292742
