method,h56_computed,current_full64_region,qk_reduction,top2048_recall,top128_recall,top512_recall,top1024_recall,weighted_recall,exact_top2048_match_rate,teacher_attention_mass_ratio,mla_relative_l2_p95,mla_relative_l2_p99,mla_cosine_p5,logit_kl_mean,logit_kl_p95,ppl_delta,quality_status,comparison_steps,test_trace_count
Full64 oracle,Yes,All tokens,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,oracle,64,96
Existing H8 + 10% H56 rescue,Promoted cold blocks,Temporal-hot + rescued cold,0.2012517344586833,0.9955548445383707,0.9999529520670573,0.9996360143025717,0.9987613360087076,0.9994679163083081,0.255859375,,0.0259577026590704,0.0801554683595896,0.9996662437915802,0.0025926091533065,0.0088863268028944,-0.0049539577363405,measured prior GPU replay,64,96
Raw H8,No,None,0.875,0.7605508168538412,0.995873769124349,0.9745512008666992,0.9230958620707194,0.9044382280588507,0.0,0.9771781289832048,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Previous Full64 only,No,None,1.0,0.7296908696492513,0.9817657470703125,0.9507741928100586,0.8881945610046387,0.8623630960935239,0.0,0.9406019459031612,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Per-layer affine H8,No,None,0.875,0.7605508168538412,0.995873769124349,0.9745512008666992,0.9230958620707194,0.9044382280588507,0.0,0.9771781289832048,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Per-layer T1 H8 + previous Full64,No,None,0.875,0.8200755914052328,0.9994023640950521,0.9938526153564453,0.9672873814900717,0.9321198266660605,0.0,0.9890100974149695,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Hybrid raw H8,Temporal-hot only,Temporal-hot,0.0887750750205953,0.8333123524983724,0.997406005859375,0.9837977091471354,0.9571544329325358,0.9228188025662553,0.13118489583333334,0.9875183532821273,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Hybrid affine H8,Temporal-hot only,Temporal-hot,0.22842533990923986,0.9809656937917074,0.9994939168294271,0.9974743525187174,0.9940560658772787,0.9907824065347891,0.14208984375,0.998185711379222,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
Hybrid T1 H8 + previous Full64,Temporal-hot only,Temporal-hot,0.21187203471040394,0.9864095052083334,0.9997647603352865,0.9987122217814127,0.9964971542358398,0.9935629809293056,0.13785807291666666,0.9986531667936895,,,,,,,GPU FOLLOW-UP REQUIRED,64,96
