method,observations,newly_active_tokens,newly_active_blocks,newly_active_recall,newly_active_cold_tokens,newly_active_cold_recall,false_negative_rate,false_positive_rate,cold_rank_p50,cold_rank_p95,score_error_mean,score_error_p95_abs,missed_full64_margin_max,small_h8_large_h56_cases,small_h8_large_h56_recall
hybrid_t1_layer,12192,6691323,1671431,0.9655558108412134,248352,0.35182106648817624,0.034444189158786664,0.01397352644151903,24.0,734.2999999999997,-0.02988860069586796,1.2343835973739612,3.2158203125,88,0.9998078866478589
pure_raw_h8,12192,6691323,1671431,0.641377289424382,248352,0.664661893165785,0.35862271057561806,0.24014939035330546,28.0,1300.2399999999984,1.2840029716511683,3.738834189176558,4.177734375,88,0.9989337270341208
pure_t1_layer,12192,6691323,1671431,0.5473020306322616,248352,0.5277945751382966,0.4526979693677385,0.17995446873462106,24.0,734.2999999999997,-0.6501551896631647,2.1759440565109243,4.177734375,88,0.9989337270341208
