record_type,context,operation_order,operation_type,category,stage,short_name,launches_per_iteration,duration_us_first_iteration,gap_from_previous_us_first_iteration,active_duration_us_per_iteration,operation_count_per_iteration,prior_operation_count_per_iteration,status,path,sha256,notes
current_nsight_timeline,32768,19,kernel,topk_scan,scan-by-key,DeviceScanByKeyKernel,1,2.08,5.952,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,20,kernel,topk_scan,scan-by-key initialization,DeviceScanByKeyInitKernel,1,0.896,15.584,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,21,kernel,topk_scan,scan-by-key,DeviceScanByKeyKernel,1,2.112,5.824,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_timeline,32768,22,kernel,topk_gather,final Top-K gather,gatherTopK,1,3.168,5.408,,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,One representative iteration inside the 100-iteration NVTX range.
current_nsight_aggregate,16384,,kernel,score,Full64 score,_full_score_kernel,1.0,,,4.41476,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_16k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,16384,,kernel,topk_gather,final Top-K gather,gatherTopK,1.0,,,53.36786,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_16k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_scan,scan-by-key initialization,DeviceScanByKeyInitKernel,2.0,,,1.7501,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_scan,scan-by-key,DeviceScanByKeyKernel,2.0,,,4.18561,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,score,Full64 score,_full_score_kernel,1.0,,,7.35178,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_radix,radix digit histogram,computeBlockDigitCounts,4.0,,,7.61194,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_count,blockwise Kth count,computeBlockwiseKthCounts,1.0,,,1.15681,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_count,blockwise within-K count,computeBlockwiseWithinKCounts,4.0,,,7.58567,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_radix,radix digit cumulative sum,computeDigitCumSum,4.0,,,6.81832,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_aux,initialize Top-K workspace,fill,1.0,,,0.84802,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,kernel,topk_gather,final Top-K gather,gatherTopK,1.0,,,3.16067,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
current_nsight_aggregate,32768,,memset,memset,Top-K workspace memset,cudaMemset,2.0,,,0.9536,,,MEASURED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,Aggregate across 100 iterations.
operation_count_summary,16384,,,,,,,,,,2,2,REPRODUCED,artifacts/l40s_dsa_lock/nsight/full64_topk_16k.sqlite,,16K remains one Full64 score kernel plus one gatherTopK kernel.
operation_count_summary,32768,,,,,,,,,,22,18,CHANGED,artifacts/l40s_dsa_lock/nsight/full64_topk_32k.sqlite,,32K path changed from 18 to 22 operations under torch 2.11/CUDA 13; radixFindKthValues became digit-count and digit-cumulative-sum stages.
