policy,promotion_policy,nominal_promotion_rate,actual_promotion_rate,qk_reduction_mean,qk_reduction_median,top128_recall,top512_recall,top2048_recall,newly_active_token_recall,mla_relative_l2_p95,mla_relative_l2_p99,mla_cosine_p5,logit_kl_mean,teacher_forced_ppl_delta,closed_loop_token_agreement_mean,closed_loop_first_divergence_min,closed_loop_niah_success_rate,ranking_status,mla_kl_ppl_status,source,notes
streak2_bucket8_m0 + dynamic H8 fixed threshold,validation_fixed_threshold,0.1,0.29359714976162155,0.1589127318938647,0.13982734736269065,0.9999803491360455,0.9997022466918197,0.9958754545330272,0.5491543726013804,0.026129196025431102,0.09184546858072325,0.999662172794342,0.0024889039901007,-0.0044188011267813,0.5020833333333333,6,1.0,available,"available; reused, not rerun",progressive_sw threshold/MLA/teacher-forced/closed-loop,"Primary runtime-legal quality lock; aggregate over 18,288 transitions."
Existing H8 + 10% H56 rescue,prior H8 global-budget 10% H56 rescue,0.1,not separately locked,0.2012517344586833,,0.9999529520670573,0.9996360143025717,0.9955548445383707,,0.0259577026590704,0.0801554683595896,0.9996662437915802,0.0025926091533065,-0.0049539577363405,0.30859375,10,1.0,available,available; prior GPU replay,h8_reconstruction/final/main_results.csv,Preserved separately from the fixed-threshold production lock.
Per-layer T1 H8 + previous Full64,no H56,0.0,0.0,0.875,,0.9994023640950521,0.9938526153564453,0.8200755914052328,,,,,,,,,,available,GPU FOLLOW-UP REQUIRED,h8_reconstruction/final/main_results.csv,MLA/KL/PPL intentionally remain unavailable; no new GPU quality sweep was run.
