context,ctas_per_sm,producer_warps,total_warps,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements
32768,1,0,4,K2_full_pipeline,cold_rotating,51.19999870657921,51.466622825711966,50.175998359918594,52.22399905323982,0.6757503507079168,1000
32768,1,0,4,K6_fused_online_pipeline,cold_rotating,50.175998359918594,49.800671853125095,48.128001391887665,51.19999870657921,0.9504287076252114,1000
32768,1,1,5,K2_full_pipeline,cold_rotating,46.08000069856644,46.42249681428075,46.08000069856644,47.10400104522705,0.5374237578616314,1000
32768,1,1,5,K6_fused_online_pipeline,cold_rotating,40.95999896526337,40.709694884717464,39.93599861860275,41.98399931192398,0.6263966856842074,1000
32768,1,4,8,K2_full_pipeline,cold_rotating,46.08000069856644,46.37145680189133,46.08000069856644,47.10400104522705,0.5516084677026784,1000
32768,1,4,8,K6_fused_online_pipeline,cold_rotating,38.91199827194214,38.69321574270725,36.86400130391121,40.95999896526337,1.0019936741232358,1000
32768,2,0,4,K2_full_pipeline,cold_rotating,44.03200000524521,44.09280002862215,43.007999658584595,46.08000069856644,0.9794136390125088,1000
32768,2,0,4,K6_fused_online_pipeline,cold_rotating,43.007999658584595,42.63455953449011,40.92799872159958,45.05600035190582,1.4315351004722479,1000
32768,2,1,5,K2_full_pipeline,cold_rotating,50.175998359918594,50.55942275002599,49.15200173854828,51.19999870657921,0.6634405471171668,1000
32768,2,1,5,K6_fused_online_pipeline,cold_rotating,44.03200000524521,44.17753605544567,43.007999658584595,45.05600035190582,0.7478627040891016,1000
32768,2,4,8,K2_full_pipeline,cold_rotating,50.175998359918594,50.62271872162819,49.15200173854828,51.19999870657921,0.6598506231852657,1000
32768,2,4,8,K6_fused_online_pipeline,cold_rotating,41.98399931192398,42.15430337190628,40.95999896526337,44.03200000524521,1.054104988362475,1000
32768,3,0,4,K2_full_pipeline,cold_rotating,44.03200000524521,44.608608178794384,43.007999658584595,48.128001391887665,1.505343361734467,1000
32768,3,0,4,K6_fused_online_pipeline,cold_rotating,43.007999658584595,42.72598356753588,40.95999896526337,45.05600035190582,1.4360883362633678,1000
32768,3,1,5,K2_full_pipeline,cold_rotating,50.175998359918594,50.55724673718214,49.15200173854828,51.19999870657921,0.6693511398144176,1000
32768,3,1,5,K6_fused_online_pipeline,cold_rotating,44.03200000524521,44.18678405880928,43.007999658584595,45.05600035190582,0.7564686334601936,1000
32768,3,4,8,K2_full_pipeline,cold_rotating,50.175998359918594,50.576222740113735,49.15200173854828,51.19999870657921,0.6822273815512001,1000
32768,3,4,8,K6_fused_online_pipeline,cold_rotating,41.98399931192398,42.13062336295843,39.93599861860275,44.03200000524521,1.054194823513688,1000
