context,layout,q_storage,cache_state,shared_memory_bytes_per_cta,median_us,mean_us,p5_us,p95_us,std_us,measurements
32768,plain_row_major,readonly_global_cache,hot_l2,16384,16.48000068962574,16.790784028358757,16.383999958634377,17.40800030529499,0.568539384333153,1000
32768,plain_row_major,readonly_global_cache,cold_rotating,16384,35.840000957250595,35.762400932610035,34.81600061058998,36.86400130391121,0.5447961824143382,1000
32768,plain_row_major,shared,hot_l2,32768,16.383999958634377,16.569280000403523,15.359999611973763,18.432000651955605,0.96909945436695,1000
32768,plain_row_major,shared,cold_rotating,32768,33.79200026392937,33.32268811017275,32.76799991726875,33.79200026392937,0.5804756428582111,1000
32768,padded_stride_136,readonly_global_cache,hot_l2,17408,15.552000142633915,15.815935843624175,15.359999611973763,16.383999958634377,0.48690986231702016,1000
32768,padded_stride_136,readonly_global_cache,cold_rotating,17408,35.840000957250595,35.64985689148307,34.81600061058998,36.86400130391121,0.5798951480869413,1000
32768,padded_stride_136,shared,hot_l2,33792,16.383999958634377,16.255615934729576,15.359999611973763,16.48000068962574,0.48134416142299397,1000
32768,padded_stride_136,shared,cold_rotating,33792,31.74399957060814,31.71670356206596,30.719999223947525,32.76799991726875,0.5292683639374327,1000
32768,xor_vector_swizzle,readonly_global_cache,hot_l2,16384,15.615999698638916,15.86934385728091,15.359999611973763,16.383999958634377,0.612768032212705,1000
32768,xor_vector_swizzle,readonly_global_cache,cold_rotating,16384,35.840000957250595,35.778112940490246,34.81600061058998,36.86400130391121,0.6027970041535841,1000
32768,xor_vector_swizzle,shared,hot_l2,32768,16.416000202298164,16.749984034337103,15.359999611973763,17.40800030529499,0.7888387771262537,1000
32768,xor_vector_swizzle,shared,cold_rotating,32768,32.76799991726875,32.51343983411789,31.74399957060814,33.79200026392937,0.5807582914715325,1000
