context,dtype,block_size,promotion_policy,threshold,ctas_per_sm,producer_warps,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements,timing_scope,head_scheme,prep_included
8192,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,hot_l2,15.200000256299973,15.006879911758006,14.336000196635723,15.359999611973764,0.5307715556147762,1000,main_only_prepacked,dynamic_abs_w,False
8192,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,hot_l2,14.592000283300877,14.80752000492066,14.336000196635723,15.359999611973764,0.6525840091482952,1000,main_only_prepacked,dynamic_abs_w,False
8192,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,cold_rotating,22.52800017595291,22.05084801465273,21.503999829292297,22.52800017595291,0.5247231741005149,1000,main_only_prepacked,dynamic_abs_w,False
8192,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,cold_rotating,22.52800017595291,22.367392122745517,21.503999829292297,23.552000522613525,0.5133390575909921,1000,main_only_prepacked,dynamic_abs_w,False
16384,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,hot_l2,16.3199994713068,16.15078394021839,15.359999611973764,16.513599082827568,0.536008217971061,1000,main_only_prepacked,dynamic_abs_w,False
16384,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,hot_l2,17.40800030529499,17.567488308995962,16.7663992382586,18.432000651955605,0.5753416933109289,1000,main_only_prepacked,dynamic_abs_w,False
16384,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,cold_rotating,26.623999699950215,26.72751973569393,25.599999353289604,27.648000046610832,0.5885703908945261,1000,main_only_prepacked,dynamic_abs_w,False
16384,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,cold_rotating,30.719999223947525,30.274303942918777,28.672000393271446,31.74399957060814,0.9425615887352606,1000,main_only_prepacked,dynamic_abs_w,False
32768,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,hot_l2,17.40800030529499,17.37408024072647,16.383999958634377,18.432000651955605,0.6457030600867579,1000,main_only_prepacked,dynamic_abs_w,False
32768,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,hot_l2,22.52800017595291,22.223520079627637,21.503999829292297,22.52800017595291,0.5286201700502352,1000,main_only_prepacked,dynamic_abs_w,False
32768,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K5_fused_online_sync,cold_rotating,34.81600061058998,34.69433657079935,33.79200026392937,35.840000957250595,0.5205436884060259,1000,main_only_prepacked,dynamic_abs_w,False
32768,bf16,64,validation_fixed_threshold,-1.7639244688110989,1,4,K6_fused_online_pipeline,cold_rotating,38.91199827194214,38.840031292289495,37.88800165057182,39.93599861860275,0.8609732977410911,1000,main_only_prepacked,dynamic_abs_w,False
