method,context,qk_reduction,accepted_block_fraction,mac_count,flop_equivalent,analytical_k_bytes,output_bytes,metadata_bytes,measured_dram_bytes,measured_l2_bytes,arithmetic_intensity_flop_per_measured_dram_byte,measured_tflops,measured_dram_bandwidth_gbps,tensor_pipe_active_pct,achieved_occupancy_pct,registers_per_thread,bottleneck
K2,16384,0.0,1.0,134217728.0,268435456.0,4194304.0,65536.0,0.0,4795008.0,8105760.0,55.98227489922853,8.765525600835945,156.576802507837,5.672025,14.57029,255.0,occupancy/register-bound + synchronization
K3,16384,0.2072201929,0.7631769224000001,106405104.51324028,212810209.02648056,7395300.01833001,65536.0,256.0,8154496.0,10011264.0,26.09728535356208,5.895672900777941,225.91134751773052,3.699109979609929,12.50067097960993,88.0,latency/launch/under-utilization-bound
K4,16384,0.2072201929,0.7631769224000001,106405104.51324028,212810209.02648056,4194304.0,65536.0,256.0,4663296.0,6756128.0,45.635149264914894,7.067289088286417,154.86503719447396,4.429415,12.389933,64.0,latency/launch/under-utilization-bound
K6,16384,0.1398273473626906,0.8401973172997822,115450419.12471288,230900838.24942577,4194304.0,65536.0,256.0,4769536.0,7764512.0,48.41159354902149,6.571631325404877,135.7449908925319,3.911401,16.196923,255.0,occupancy/register-bound + synchronization
K2,32768,0.0,1.0,268435456.0,536870912.0,8388608.0,131072.0,0.0,9478016.0,14941984.0,56.64380731157238,11.023137976346911,194.60446780551905,7.129199,14.8866,255.0,occupancy/register-bound + synchronization
K3,32768,0.2072201929,0.7631769224000001,212810209.02648056,425620418.0529611,14790600.03666002,131072.0,512.0,15333376.000000002,16774784.0,27.757776112250887,9.268737326937307,333.91498257839726,5.149190514285715,22.64157963554007,88.0,latency/launch/under-utilization-bound
K4,32768,0.2072201929,0.7631769224000001,212810209.02648056,425620418.0529611,8388608.0,131072.0,512.0,9291904.0,11171872.0,45.80551177164133,11.886182362962497,259.4924039320822,6.598661,23.777344,64.0,latency/launch/under-utilization-bound
K6,32768,0.1398273473626906,0.8401973172997822,230900838.24942577,461801676.49885154,8388608.0,131072.0,512.0,9452928.0,12102592.0,48.852765672059654,9.13952019669988,187.0829639012033,4.510856,16.527905,255.0,occupancy/register-bound + synchronization
