context,dtype,block_size,claim_scope,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements
8192,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,hot_l2,15.359999611973763,15.388351783156395,14.655999839305878,16.16000011563301,0.4673544901965014,1000
8192,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,cold_rotating,23.552000522613525,23.21024040877819,22.52800017595291,23.552000522613525,0.5098914264694111,1000
16384,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,hot_l2,16.383999958634377,16.408927951939404,15.456000342965126,17.24799908697605,0.5331474432989795,1000
16384,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,cold_rotating,27.648000046610832,27.957472153007984,27.648000046610832,28.672000393271446,0.5419811466486111,1000
32768,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,hot_l2,17.40800030529499,17.219392200931907,16.383999958634377,17.69760064780712,0.5965377720110785,1000
32768,bf16,64,DATAFLOW-ONLY / PRECOMPUTED-MASK,K4_fused_mask,cold_rotating,35.840000957250595,35.99868901073933,34.81600061058998,36.86400130391121,0.5190667289268861,1000
