context,promotion_rate,pattern,accepted_fraction,qk_reduction,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements,k2_median_us,speedup_vs_k2
16384,0.0,random,0.0,0.875,K4_fused_mask,cold_rotating,15.359999611973763,15.37587176822126,14.336000196635723,16.383999958634377,0.592115807965839,1000,29.69600073993206,1.933333430346104
16384,0.0,clustered,0.0,0.875,K4_fused_mask,cold_rotating,15.359999611973763,15.715967793017626,14.336000196635723,16.383999958634377,0.6442313977436193,1000,29.69600073993206,1.933333430346104
16384,0.05,random,0.05,0.83125,K4_fused_mask,cold_rotating,27.648000046610832,27.528928004205227,26.623999699950218,28.672000393271446,0.6037233959306209,1000,29.69600073993206,1.0740740990259177
16384,0.05,clustered,0.05,0.83125,K4_fused_mask,cold_rotating,27.648000046610832,27.813632102683187,26.623999699950218,28.672000393271446,0.6011770919493783,1000,29.69600073993206,1.0740740990259177
16384,0.1,random,0.1,0.7875,K4_fused_mask,cold_rotating,27.648000046610832,27.50230399519205,26.623999699950218,28.672000393271446,0.5909226229030956,1000,29.69600073993206,1.0740740990259177
16384,0.1,clustered,0.1,0.7875,K4_fused_mask,cold_rotating,27.648000046610832,27.638400042429566,26.623999699950218,28.672000393271446,0.6011251201536519,1000,29.69600073993206,1.0740740990259177
16384,0.2,random,0.2,0.7,K4_fused_mask,cold_rotating,27.648000046610832,27.517311999574304,26.623999699950218,28.672000393271446,0.612996053351226,1000,29.69600073993206,1.0740740990259177
16384,0.2,clustered,0.2,0.7,K4_fused_mask,cold_rotating,27.648000046610832,27.639360040426254,26.623999699950218,28.672000393271446,0.606701212350391,1000,29.69600073993206,1.0740740990259177
16384,0.4,random,0.4,0.5249999999999999,K4_fused_mask,cold_rotating,27.648000046610832,27.66921605169773,26.623999699950218,28.672000393271446,0.6160774415530829,1000,29.69600073993206,1.0740740990259177
16384,0.4,clustered,0.4,0.5249999999999999,K4_fused_mask,cold_rotating,27.648000046610832,27.704224064946175,26.623999699950218,28.672000393271446,0.6323496438408738,1000,29.69600073993206,1.0740740990259177
16384,0.6,random,0.6,0.35,K4_fused_mask,cold_rotating,27.648000046610832,27.982304157689214,26.623999699950218,28.672000393271446,0.6576147695737804,1000,29.69600073993206,1.0740740990259177
16384,0.6,clustered,0.6,0.35,K4_fused_mask,cold_rotating,28.672000393271446,28.411648305132985,27.648000046610832,29.69600073993206,0.6997587304047609,1000,29.69600073993206,1.0357142973149833
16384,0.8,random,0.8,0.17499999999999993,K4_fused_mask,cold_rotating,28.672000393271446,28.204960234463215,27.648000046610832,29.69600073993206,0.6849160875410948,1000,29.69600073993206,1.0357142973149833
16384,0.8,clustered,0.8,0.17499999999999993,K4_fused_mask,cold_rotating,28.672000393271446,28.32691227644682,27.648000046610832,29.69600073993206,0.6761863024856783,1000,29.69600073993206,1.0357142973149833
16384,1.0,random,1.0,0.0,K4_fused_mask,cold_rotating,28.672000393271446,28.362720288336277,27.648000046610832,29.69600073993206,0.6932658679930321,1000,29.69600073993206,1.0357142973149833
