context,dtype,block_size,ctas_per_sm,producer_warps,method,cache_state,median_us,mean_us,p5_us,p95_us,std_us,measurements
8192,bf16,64,2,0,K2_full_pipeline,hot_l2,15.32800029963255,15.084895858541131,14.336000196635723,15.359999611973763,0.5407000499411374,1000
8192,bf16,64,2,0,K2_full_pipeline,cold_rotating,23.552000522613525,23.932768650352955,23.552000522613525,24.57600086927414,0.5031525219164464,1000
16384,bf16,64,2,0,K2_full_pipeline,hot_l2,16.383999958634377,16.394207945093513,15.359999611973763,17.27999933063984,0.5671527480746681,1000
16384,bf16,64,2,0,K2_full_pipeline,cold_rotating,29.69600073993206,29.259136514738202,28.672000393271446,29.69600073993206,0.6111086120960684,1000
32768,bf16,64,2,0,K2_full_pipeline,hot_l2,21.503999829292297,21.5860478579998,20.479999482631683,22.52800017595291,0.6366216001323965,1000
32768,bf16,64,2,0,K2_full_pipeline,cold_rotating,45.05600035190582,45.36435245350003,43.007999658584595,48.128001391887665,1.3905856707382054,1000
65536,bf16,64,2,0,K2_full_pipeline,hot_l2,38.91199827194214,38.75855929777026,37.88800165057182,39.93599861860275,0.6856484067144943,1000
65536,bf16,64,2,0,K2_full_pipeline,cold_rotating,67.58400052785873,68.30198477208614,66.56000018119812,71.68000191450119,1.7189725594992575,1000
131072,bf16,64,2,0,K2_full_pipeline,hot_l2,75.77600330114365,75.37069088965654,73.72800260782242,76.80000364780426,1.1155109570650148,1000
131072,bf16,64,2,0,K2_full_pipeline,cold_rotating,104.44799810647964,104.76249421387911,101.3759970664978,108.5439994931221,2.2418474077453117,1000
