policy,layer,base_context_length,workload,qk_reduction,recall,top128_recall,top512_recall,top2048_recall,index_mass_ratio,newly_hot_miss_rate
dynamic_address_m-1,8,32768,long-code,0.8188381515216133,0.7452120242782152,0.928703248031496,0.8714936023622047,0.7452120242782152,0.8991940890674576,0.3763237602650425
dynamic_address_m-1,8,32768,long-text,0.7910134250662121,0.7603384904035433,0.9308768044619422,0.8773068405511811,0.7603384904035433,0.9134682858638602,0.35687403317882
dynamic_address_m-1,11,8192,long-code,0.2701073194260219,0.9601608636811024,0.9993028215223098,0.9954119504593176,0.9601608636811024,0.9970536618032982,0.1040615268436914
dynamic_address_m-1,11,8192,long-text,0.2566221142162819,0.9541400098425196,0.9998154527559056,0.997329191272966,0.9541400098425196,0.99675292860083,0.1231747584316006
dynamic_address_m-1,11,16384,long-code,0.6303118730621922,0.915765717273622,0.996821686351706,0.9859026410761156,0.915765717273622,0.983127337655116,0.1907714081694532
dynamic_address_m-1,11,16384,long-text,0.592412155167164,0.8991526205708661,0.994361056430446,0.9774339730971128,0.8991526205708661,0.9770083467323694,0.202251453698693
dynamic_address_m-1,11,32768,long-code,0.7450478454318279,0.8402038734416011,0.9729535761154856,0.9329170767716536,0.8402038734416011,0.94938803715977,0.2617672198291668
dynamic_address_m-1,11,32768,long-text,0.7509727626459144,0.7878257771489501,0.962147309711286,0.9055835793963256,0.7878257771489501,0.9321663394313734,0.3273261082899089
dynamic_address_m-1,14,8192,long-code,0.3121189953669836,0.9518754613681102,0.9981545275590552,0.992074721128609,0.9518754613681102,0.9947886389960284,0.11647694591725
dynamic_address_m-1,14,8192,long-text,0.1477162293488824,0.973390594242126,0.9998359580052494,0.9971959071522308,0.973390594242126,0.9974221896079136,0.0683305589124626
dynamic_address_m-1,14,16384,long-code,0.5462748445311547,0.9097512713254592,0.9877173556430446,0.9682424950787402,0.9097512713254592,0.9768490377643388,0.1685637724842726
dynamic_address_m-1,14,16384,long-text,0.4656238632229902,0.902352721046588,0.9929461942257218,0.970098220144357,0.902352721046588,0.9762318595598,0.1758383891246525
