comparison,policy,selection_role,prompt_id,workload,context_length,step,logit_kl,top1_agreement,top5_overlap,baseline_nll,approx_nll,final_hidden_cosine,final_hidden_relative_l2,selected_hidden_cosine_mean,selected_hidden_cosine_worst,selected_hidden_relative_l2_mean,selected_hidden_relative_l2_worst,baseline_decode_seconds,approx_decode_seconds
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,0,4.038532097183634e-06,True,1.0,0.017828214913606644,0.017764391377568245,0.99937504529953,0.03641471266746521,0.9997023344039917,0.9990467429161072,0.02147032879292965,0.043663181364536285,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,1,1.4941015251679346e-06,True,0.8,0.00021455370006151497,0.0002079985715681687,0.999569296836853,0.02935929410159588,0.9997658729553223,0.9993473291397095,0.02038203552365303,0.03633818402886391,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,2,0.0019270963966846466,True,1.0,0.8466100096702576,0.9015059471130371,0.999937891960144,0.011655285954475403,0.9999027252197266,0.9998132586479187,0.013706646859645844,0.019359387457370758,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,3,0.0006537181325256824,True,1.0,0.02026122622191906,0.02575862407684326,0.9969735145568848,0.0782649964094162,0.9989786148071289,0.9972969889640808,0.040059082210063934,0.07623636722564697,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,4,0.0005426122806966305,True,1.0,0.06842802464962006,0.07333175837993622,0.9995746612548828,0.030649619176983833,0.9994547367095947,0.9989727735519409,0.030332516878843307,0.045390184968709946,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,5,0.003512694500386715,True,1.0,0.4487500488758087,0.43478450179100037,0.9993563890457153,0.036173705011606216,0.999454140663147,0.9979507923126221,0.028896361589431763,0.06408575922250748,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,6,0.00762085011228919,True,1.0,0.48430222272872925,0.5874865651130676,0.9983886480331421,0.05696408823132515,0.9994957447052002,0.997680127620697,0.026167383417487144,0.0681072399020195,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,7,0.0001338506117463112,True,1.0,0.04312414303421974,0.044432565569877625,0.997261106967926,0.07406458258628845,0.999149739742279,0.9979462623596191,0.03520291671156883,0.06452570110559464,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,8,0.0002350841386942193,True,1.0,0.009691214188933372,0.011555171571671963,0.9995651245117188,0.029808366671204567,0.9992733001708984,0.9984633922576904,0.03410954028367996,0.05542634427547455,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,9,0.00015458662528544664,True,1.0,0.31491419672966003,0.3126167953014374,0.999417245388031,0.03452279418706894,0.9995008707046509,0.9990890026092529,0.029227659106254578,0.04270046949386597,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,10,0.0002908549504354596,True,1.0,0.03138378635048866,0.030708886682987213,0.9985388517379761,0.05424116924405098,0.9988055229187012,0.9959505796432495,0.040823835879564285,0.09044709801673889,5.35430454602465,5.410512609872967
dense_vs_full_indexer,full-indexer-sparse,Baseline,code_heldout_3,long-code,8192,11,9.1235910076648e-05,True,1.0,0.004589381627738476,0.004027589689940214,0.9992020130157471,0.04240160062909126,0.9989064931869507,0.9971911907196045,0.04146414250135422,0.07661102712154388,5.35430454602465,5.410512609872967
