policy,history_mode,family,repair,transitions,qk_reduction_mean,qk_reduction_p5,qk_reduction_p10,qk_reduction_median,qk_reduction_p95,exact_match,recall_mean,recall_p1,recall_p5,recall_median,recall_worst,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,index_mass_ratio_p5,newly_hot_miss_rate,net_bf16_reduction_median,net_fp8_reduction_median,seed_block_fraction_median,metadata_bytes_per_block,full_refresh_rate,physical_b16_reduction_median,physical_b32_reduction_median,physical_b64_reduction_median,physical_b128_reduction_median,cache0_net_bf16_reduction_median,cache256_net_bf16_reduction_median,cache512_net_bf16_reduction_median,cache1024_net_bf16_reduction_median,cache2048_net_bf16_reduction_median,selection_role
streak2_bucket8_m-0.75_age2,own,streak2_bucket8,age2,18288,0.1961638333823749,0.0077925240472421,0.0232276796515847,0.1710450391834869,0.4789085873763253,0.0328083989501312,0.990336954645806,0.9443359375,0.9677734375,0.99462890625,0.83740234375,0.9996462844488188,0.999287442585302,0.99841949382792,0.9962536802650646,0.990336954645806,0.998514469248234,0.9937607109372736,0.0312636861014564,0.1705553195001002,0.1700655998167135,0.6342412451361867,8,0.0,0.1709568154584995,0.1708737864077669,0.1705426356589147,0.0697674418604651,0.1705553195001002,0.1856256815703381,0.199992469879518,0.2328454465667325,0.3117914407621586,Safe
streak2_bucket8_m-0.75_refresh8,own,streak2_bucket8,refresh8,18288,0.279870533658014,0.0,0.0,0.284626397656644,0.6254302796824958,0.0598206474190726,0.982233830115718,0.8954443359375,0.9365234375,0.99072265625,0.64794921875,0.9990443699420384,0.9982224511975064,0.9964268535036636,0.9923035896147748,0.982233830115718,0.9969480091234784,0.9865881752732586,0.0492028941988341,0.2841371198834891,0.2836478421103341,0.6101364522417154,8,0.1181102362204724,0.2846003898635477,0.2846003898635477,0.2840466926070039,0.1860465116279069,0.2841371198834891,0.3001347306510853,0.315694476735911,0.3487224144491686,0.4169228824151497,Balanced
streak2_bucket8_m0,own,streak2_bucket8,none,18288,0.3729894183653142,0.0387191231408292,0.0694645441389291,0.4099998475656825,0.6969281268319953,0.0075459317585301,0.9600893890033764,0.81298828125,0.87255859375,0.9755859375,0.61767578125,0.995807103701881,0.9930594002898075,0.988073847946741,0.9787344010587544,0.9600893890033764,0.9917320801014432,0.9660732161080224,0.090482119182571,0.4095107991983993,0.409021750831116,0.5486381322957199,8,0.0,0.4099560761346998,0.4097560975609756,0.4093567251461988,0.3023255813953488,0.4095107991983993,0.421250781860453,0.4341592642622903,0.4573885204714427,0.5118221702204377,Aggressive
