policy_role,verifier,observations,output_cosine_p50,output_cosine_p5,output_cosine_p1,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,output_max_abs_p95,output_norm_ratio_p5,output_norm_ratio_p95,per_head_relative_l2_mean,per_head_relative_l2_worst_p95,attention_js_mean,attention_kl_mean,net_qk_reduction_median,physical_key_byte_reduction_median,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,dim_had_even_w16_b64_r0.1,9216,0.9999921322,0.99756971,0.9791293234,0.004003626993,0.03803069331,0.06992316805,0.2057123289,1.523348808,0.07089233398,0.9961259812,1.003271699,0.01163414298,0.2534450442,0.002346917638,0.0608611655,0.2419585983,0.2412275943,0.9991048177,0.9966381921,0.9843589465,0.8861219618
Aggressive,dim_had_random_w32_b64_r0.1,9216,0.9999932051,0.9981863201,0.9870158315,0.003722665599,0.03258924931,0.0607580347,0.160680294,1.522574782,0.0625,0.9962297082,1.00290674,0.01008404899,0.2197361812,0.001886649777,0.04830498963,0.2015432993,0.2010229159,0.9992752075,0.9971396128,0.9866489304,0.8885633681
Aggressive,head_dynamic_abs_w16_b64_r0.1,9216,0.999999404,0.9998324215,0.9979325771,0.001113034436,0.007862730883,0.01845201757,0.06443929337,0.374268502,0.01953125,0.9993621111,1.000773907,0.002811426549,0.07166709751,0.0004403150657,0.01154041951,0.1656213846,-0.02748149471,0.9999872843,0.999888738,0.997144911,0.9058702257
Aggressive,head_dynamic_abs_w8_b64_r0.1,9216,0.9999984503,0.9996662438,0.9968877763,0.001769823488,0.01275263308,0.02595770266,0.08015546836,0.4773649573,0.03125,0.9989002645,1.001214176,0.004106972951,0.1044263449,0.0006512421277,0.01709670364,0.2072201929,-0.02748149471,0.9999660916,0.999680837,0.995683882,0.9015480324
Balanced,dim_had_even_w16_b64_r0.1,9216,0.9999959469,0.9985980392,0.9893626153,0.002878895728,0.02817501407,0.05383125413,0.1489679903,1.522559881,0.0625,0.996990338,1.002351314,0.008639479648,0.1967505291,0.001606720657,0.04050756898,0.1911728854,0.190417338,0.9994947645,0.9978150262,0.9879858759,0.904848452
Balanced,dim_had_random_w32_b64_r0.1,9216,0.9999964833,0.9987439215,0.9908500433,0.002675850061,0.02528383862,0.05039368849,0.1354065418,1.522545815,0.0546875,0.9973231554,1.002219915,0.007958524248,0.1837655082,0.001422360412,0.03576611059,0.1595427743,0.1592889333,0.9995583428,0.9980896844,0.9893327819,0.907760055
Balanced,head_dynamic_abs_w16_b64_r0.1,9216,0.9999992847,0.9998165071,0.9978272349,0.001177650236,0.008690750692,0.01952120196,0.06607599929,0.374268502,0.0224609375,0.9992311746,1.000819236,0.003012306191,0.07453713752,0.0004728754406,0.01226250686,0.1453628728,-0.02359044413,0.9999881321,0.9998766581,0.9968107012,0.9329336661
Balanced,head_dynamic_abs_w8_b64_r0.1,9216,0.9999985695,0.9996490777,0.9967761874,0.001707902178,0.01306165336,0.02670429135,0.08069884405,0.558044374,0.03125,0.998805061,1.001242995,0.004219181732,0.1073843557,0.0006823458116,0.01791629833,0.1777236769,-0.02359044413,0.9999610053,0.9996568892,0.9953496721,0.9271556713
