cycles_per_decode_step,full_dsa_cycles_per_decode_step,speedup_over_full_dsa,effective_hbm_utilization,verifier_utilization,full_rerank_utilization,rescue_fifo_occupancy_tokens,physical_key_and_sketch_bytes,full_key_bytes,sketch_bytes,metadata_bytes,candidate_sram_bytes,sketch_sram_bytes,total_sram_bytes,normalized_energy_proxy,net_qk_reduction_model,physical_byte_reduction_model,selector_cycles,model_is_optimistic_streaming,policy_role,verifier,path,width,measured_rescue_fraction,rescue_rate_scale,modeled_rescue_fraction,context_length,rate_source_context,full_k_bandwidth_gbps,sketch_memory,verifier_compute_ratio,clock_hz,full_engine_macs_per_cycle
7921.873147,8256,1.042177759,0.2678120533,0.0008793357663,0.9899013783,95.69627647,2122087.075,2121573.114,0,513.9609722,24498.24678,0,24498.24678,1.002324501,0.03593737325,-0.01188997007,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15,8192,8192,1000,full_k_hbm,8,1000000000,8192
7953.771906,8256,1.037998084,0.2677646808,0.0008758091729,0.989941879,127.5950353,2130253.157,2129739.196,0,513.9609722,32664.32903,0,32664.32903,1.006218393,0.03204348179,-0.01578386153,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2,0.2,8192,8192,1000,full_k_hbm,8,1000000000,8192
7858.07563,8256,1.050638908,0.133953976,0.007091798779,0.9898193904,31.89875882,2105754.91,2105240.949,0,513.9609722,8166.082258,0,8166.082258,0.9945367185,0.04372515616,-0.004102187152,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,2000,full_k_hbm,1,1000000000,8192
7889.974388,8256,1.046391229,0.1339299044,0.007063127003,0.9898605501,63.79751764,2113920.992,2113407.031,0,513.9609722,16332.16452,0,16332.16452,0.9984306099,0.0398312647,-0.007996078609,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1,0.1,8192,8192,2000,full_k_hbm,1,1000000000,8192
7921.873147,8256,1.042177759,0.1339060266,0.007034686131,0.9899013783,95.69627647,2122087.075,2121573.114,0,513.9609722,24498.24678,0,24498.24678,1.002324501,0.03593737325,-0.01188997007,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15,8192,8192,2000,full_k_hbm,1,1000000000,8192
7953.771906,8256,1.037998084,0.1338823404,0.007006473383,0.989941879,127.5950353,2130253.157,2129739.196,0,513.9609722,32664.32903,0,32664.32903,1.006218393,0.03204348179,-0.01578386153,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2,0.2,8192,8192,2000,full_k_hbm,1,1000000000,8192
7858.07563,8256,1.050638908,0.133953976,0.00354589939,0.9898193904,31.89875882,2105754.91,2105240.949,0,513.9609722,8166.082258,0,8166.082258,0.9945367185,0.04372515616,-0.004102187152,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,2000,full_k_hbm,2,1000000000,8192
7889.974388,8256,1.046391229,0.1339299044,0.003531563502,0.9898605501,63.79751764,2113920.992,2113407.031,0,513.9609722,16332.16452,0,16332.16452,0.9984306099,0.0398312647,-0.007996078609,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1,0.1,8192,8192,2000,full_k_hbm,2,1000000000,8192
7921.873147,8256,1.042177759,0.1339060266,0.003517343065,0.9899013783,95.69627647,2122087.075,2121573.114,0,513.9609722,24498.24678,0,24498.24678,1.002324501,0.03593737325,-0.01188997007,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15,8192,8192,2000,full_k_hbm,2,1000000000,8192
7953.771906,8256,1.037998084,0.1338823404,0.003503236692,0.989941879,127.5950353,2130253.157,2129739.196,0,513.9609722,32664.32903,0,32664.32903,1.006218393,0.03204348179,-0.01578386153,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2,0.2,8192,8192,2000,full_k_hbm,2,1000000000,8192
7858.07563,8256,1.050638908,0.133953976,0.001772949695,0.9898193904,31.89875882,2105754.91,2105240.949,0,513.9609722,8166.082258,0,8166.082258,0.9945367185,0.04372515616,-0.004102187152,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,2000,full_k_hbm,4,1000000000,8192
7889.974388,8256,1.046391229,0.1339299044,0.001765781751,0.9898605501,63.79751764,2113920.992,2113407.031,0,513.9609722,16332.16452,0,16332.16452,0.9984306099,0.0398312647,-0.007996078609,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1,0.1,8192,8192,2000,full_k_hbm,4,1000000000,8192
7921.873147,8256,1.042177759,0.1339060266,0.001758671533,0.9899013783,95.69627647,2122087.075,2121573.114,0,513.9609722,24498.24678,0,24498.24678,1.002324501,0.03593737325,-0.01188997007,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15,8192,8192,2000,full_k_hbm,4,1000000000,8192
7953.771906,8256,1.037998084,0.1338823404,0.001751618346,0.989941879,127.5950353,2130253.157,2129739.196,0,513.9609722,32664.32903,0,32664.32903,1.006218393,0.03204348179,-0.01578386153,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2,0.2,8192,8192,2000,full_k_hbm,4,1000000000,8192
7858.07563,8256,1.050638908,0.133953976,0.0008864748474,0.9898193904,31.89875882,2105754.91,2105240.949,0,513.9609722,8166.082258,0,8166.082258,0.9945367185,0.04372515616,-0.004102187152,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,8192,8192,2000,full_k_hbm,8,1000000000,8192
7889.974388,8256,1.046391229,0.1339299044,0.0008828908754,0.9898605501,63.79751764,2113920.992,2113407.031,0,513.9609722,16332.16452,0,16332.16452,0.9984306099,0.0398312647,-0.007996078609,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1,0.1,8192,8192,2000,full_k_hbm,8,1000000000,8192
7921.873147,8256,1.042177759,0.1339060266,0.0008793357663,0.9899013783,95.69627647,2122087.075,2121573.114,0,513.9609722,24498.24678,0,24498.24678,1.002324501,0.03593737325,-0.01188997007,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,1.5,0.15,8192,8192,2000,full_k_hbm,8,1000000000,8192
7953.771906,8256,1.037998084,0.1338823404,0.0008758091729,0.989941879,127.5950353,2130253.157,2129739.196,0,513.9609722,32664.32903,0,32664.32903,1.006218393,0.03204348179,-0.01578386153,16,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,2,0.2,8192,8192,2000,full_k_hbm,8,1000000000,8192
16730.63126,16448,0.9831069578,0.9945006453,0.03526903305,0.7123933845,255.3765222,4260513.603,4259487.638,0,1025.964853,65376.38967,0,65376.38967,0.9653245759,0.2365195182,-0.01578559936,24,True,Balanced,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,0.5,0.05,16384,16384,256,full_k_hbm,1,1000000000,8192
