policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes,observations_mla,output_cosine_p50,output_cosine_p5,output_cosine_p1,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,output_max_abs_p95,output_norm_ratio_p5,output_norm_ratio_p95,per_head_relative_l2_mean,per_head_relative_l2_worst_p95,attention_js_mean,attention_kl_mean,net_qk_reduction_median_mla,physical_key_byte_reduction_median_mla,top128_recall_mla,top512_recall_mla,top2048_recall_mla,tail_critical_block_recall_mla,offline_quality_band,teacher_forced_measured,teacher_ppl_delta,band_b_pass_with_available_model_gate
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.1835638404,0.1777236769,-0.02359044413,0.2899305556,0.9953496721,0.9999610053,0.9998940362,0.9996568892,0.9987602234,0.9953496721,0.9994627434,0.5217384197,0.4463166031,0.3218797372,0.7388949708,0.6263491967,0.03163651321,1.372748186e+10,0,1431568384,9216,0.9999985695,0.9996490777,0.9967761874,0.001707902178,0.01306165336,0.02670429135,0.08069884405,0.558044374,0.03125,0.998805061,1.001242995,0.004219181732,0.1073843557,0.0006823458116,0.01791629833,0.1777236769,-0.02359044413,0.9999610053,0.9996568892,0.9953496721,0.9271556713,A,False,,True
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.196380664,0.2072201929,-0.02748149471,0.2573784722,0.995683882,0.9999660916,0.9998965793,0.999680837,0.9988419215,0.995683882,0.999503467,0.5243255868,0.4551984417,0.1944937833,0.69799767,0.5253946606,0.03402076563,1.473247642e+10,0,1539457024,9216,0.9999984503,0.9996662438,0.9968877763,0.001769823488,0.01275263308,0.02595770266,0.08015546836,0.4773649573,0.03125,0.9989002645,1.001214176,0.004106972951,0.1044263449,0.0006512421277,0.01709670364,0.2072201929,-0.02748149471,0.9999660916,0.999680837,0.995683882,0.9015480324,A,True,-0.004953957736,True
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.1501416814,0.1453628728,-0.02359044413,0.3832465278,0.9968107012,0.9999881321,0.9999665154,0.9998766581,0.9994006687,0.9968107012,0.999692416,0.6378556259,0.5670382518,0.3756947954,0.8617686924,0.7081499855,0.0309445912,1.341802086e+10,0,1400258560,9216,0.9999992847,0.9998165071,0.9978272349,0.001177650236,0.008690750692,0.01952120196,0.06607599929,0.374268502,0.0224609375,0.9992311746,1.000819236,0.003012306191,0.07453713752,0.0004728754406,0.01226250686,0.1453628728,-0.02359044413,0.9999881321,0.9998766581,0.9968107012,0.9329336661,A,False,,True
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.1602511887,0.1656213846,-0.02748149471,0.3849826389,0.997144911,0.9999872843,0.9999699063,0.999888738,0.9994587368,0.997144911,0.9997246151,0.6458930214,0.5817840101,0.2297957371,0.8400865156,0.6044196006,0.03324737714,1.437406003e+10,0,1504460800,9216,0.999999404,0.9998324215,0.9979325771,0.001113034436,0.007862730883,0.01845201757,0.06443929337,0.374268502,0.01953125,0.9993621111,1.000773907,0.002811426549,0.07166709751,0.0004403150657,0.01154041951,0.1656213846,-0.02748149471,0.9999872843,0.999888738,0.997144911,0.9058702257,A,False,,True
