policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.1835638404,0.1777236769,-0.02359044413,0.2899305556,0.9953496721,0.9999610053,0.9998940362,0.9996568892,0.9987602234,0.9953496721,0.9994627434,0.5217384197,0.4463166031,0.3218797372,0.7388949708,0.6263491967,0.03163651321,1.372748186e+10,0,1431568384
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.196380664,0.2072201929,-0.02748149471,0.2573784722,0.995683882,0.9999660916,0.9998965793,0.999680837,0.9988419215,0.995683882,0.999503467,0.5243255868,0.4551984417,0.1944937833,0.69799767,0.5253946606,0.03402076563,1.473247642e+10,0,1539457024
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.1501416814,0.1453628728,-0.02359044413,0.3832465278,0.9968107012,0.9999881321,0.9999665154,0.9998766581,0.9994006687,0.9968107012,0.999692416,0.6378556259,0.5670382518,0.3756947954,0.8617686924,0.7081499855,0.0309445912,1.341802086e+10,0,1400258560
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.1602511887,0.1656213846,-0.02748149471,0.3849826389,0.997144911,0.9999872843,0.9999699063,0.999888738,0.9994587368,0.997144911,0.9997246151,0.6458930214,0.5817840101,0.2297957371,0.8400865156,0.6044196006,0.03324737714,1.437406003e+10,0,1504460800
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_even_w16_b64_r0.1,dim,16,0.1,9216,0.1986575811,0.1911728854,0.190417338,0.2165798611,0.9879858759,0.9994947645,0.9989823235,0.9978150262,0.9950590134,0.9879858759,0.9980236808,0.1443670076,0.1356126135,0.1141990904,0.4578259623,0.3677274688,0.03412974968,0,1856428032,1544388608
Aggressive,streak2_bucket8_m0,dim_had_even_w16_b64_r0.1,dim,16,0.1,9216,0.2263828161,0.2419585983,0.2412275943,0.1174045139,0.9843589465,0.9991048177,0.9983211093,0.9966381921,0.992989964,0.9843589465,0.9972436617,0.1172988085,0.1146101546,0.0701598579,0.3778569854,0.2602211322,0.03887471976,0,2114213888,1759100928
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w32_b64_r0.1,dim,32,0.1,9216,0.1643673926,0.1595427743,0.1592889333,0.2248263889,0.9893327819,0.9995583428,0.9991327922,0.9980896844,0.9956342909,0.9893327819,0.9982814867,0.1926076827,0.1706364351,0.1412329459,0.4916340082,0.4023181768,0.03378650423,0,3672248320,1528856576
Aggressive,streak2_bucket8_m0,dim_had_random_w32_b64_r0.1,dim,32,0.1,9216,0.185634059,0.2015432993,0.2010229159,0.1208767361,0.9866489304,0.9992752075,0.9985961914,0.9971396128,0.9940401713,0.9866489304,0.9977060081,0.1610049575,0.1467318188,0.08947602131,0.4059342244,0.2934338646,0.03817157348,0,4149415936,1727283200
