policy_role,policy,rescue,observations,rescue_blocks_mean,missed_blocks_mean,output_cosine_p5,output_relative_l2_p50,output_relative_l2_p90,output_relative_l2_p95,output_relative_l2_p99,output_relative_l2_max,top128_recall,top512_recall,top2048_recall
Aggressive,streak2_bucket8_m0,0,1152,0.0,54.575520833333336,0.9638804852962494,0.03687112405896187,0.1832388505339623,0.26657537519931795,0.5382006013393402,1.5241520404815674,0.9932115342881944,0.9801177978515625,0.9411561754014757
Aggressive,streak2_bucket8_m0,all,1152,54.575520833333336,54.575520833333336,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Aggressive,streak2_bucket8_m0,best1,1152,0.9800347222222222,54.575520833333336,0.9860193610191346,0.02451360784471035,0.11735004857182511,0.16859440207481388,0.3558602657914163,1.522769808769226,0.9935641818576388,0.9807569715711806,0.9426307678222656
Aggressive,streak2_bucket8_m0,best2,1152,1.9583333333333333,54.575520833333336,0.9898584902286529,0.02190915122628212,0.10058564618229866,0.14560842737555507,0.2962361538410187,1.5228564739227295,0.9937676323784722,0.9812791612413194,0.9439693027072482
Aggressive,streak2_bucket8_m0,best4,1152,3.9097222222222223,54.575520833333336,0.9923219889402389,0.01841998379677534,0.08371081128716472,0.12515282444655898,0.2727746492624284,1.5228279829025269,0.9941202799479166,0.9822964138454862,0.9464751349555122
Aggressive,streak2_bucket8_m0,best8,1152,7.795138888888889,54.575520833333336,0.9942489713430405,0.015525109600275755,0.07710812017321587,0.11107276193797588,0.2632320818305017,1.5228174924850464,0.9947306315104166,0.9840545654296875,0.9512994554307725
Balanced,streak2_bucket8_m-0.75_refresh8,0,1152,0.0,36.12586805555556,0.9836641877889634,0.020522110164165497,0.12184630483388903,0.18451669067144413,0.37901263087987913,1.5230273008346558,0.9971856011284722,0.9904276529947916,0.9648793538411459
Balanced,streak2_bucket8_m-0.75_refresh8,all,1152,36.12586805555556,36.12586805555556,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Balanced,streak2_bucket8_m-0.75_refresh8,best1,1152,0.859375,36.12586805555556,0.9937036544084549,0.013050911016762257,0.07689712494611749,0.11493053399026404,0.24754320785403272,1.5229072570800781,0.9972466362847222,0.9907260470920138,0.9659716288248698
Balanced,streak2_bucket8_m-0.75_refresh8,best2,1152,1.71875,36.12586805555556,0.9946780651807785,0.010616807267069817,0.06733786016702653,0.10439439192414292,0.22880356848239908,1.5229507684707642,0.9973076714409722,0.99102783203125,0.9669464959038628
Balanced,streak2_bucket8_m-0.75_refresh8,best4,1152,3.435763888888889,36.12586805555556,0.9957762658596039,0.008483872283250093,0.05900975279510023,0.09238350912928583,0.21977475076913836,1.522868275642395,0.9975382486979166,0.9915805392795138,0.9688084920247396
Balanced,streak2_bucket8_m-0.75_refresh8,best8,1152,6.847222222222222,36.12586805555556,0.9966152131557464,0.006668086163699627,0.05078237988054756,0.08299427106976509,0.2088007152080537,1.5221233367919922,0.9978976779513888,0.9925079345703125,0.9721802605523003
