policy_role,verifier,step,layer,prompt_id,workload,base_context_length,context_length,output_cosine,output_relative_l2,output_max_abs,output_norm_ratio,preprojection_cosine,preprojection_relative_l2,per_head_relative_l2_mean,per_head_relative_l2_worst,attention_js,attention_kl_eps1e8,net_qk_reduction,physical_key_byte_reduction,top128_recall,top512_recall,top2048_recall,tail_critical_block_recall
Aggressive,dim_had_random_w32_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999990463256836,0.0013689511688426137,0.001953125,1.000052809715271,1.0,0.00035106908762827516,0.0002350139111513272,0.0009768713498488069,1.2128875823691487e-05,6.68260981910862e-05,0.3578773915962283,0.3569683350085283,1.0,1.0,0.9892578125,0.75
Aggressive,head_dynamic_abs_w16_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999972581863403,0.002378761535510421,0.0009765625,1.0000704526901245,0.9999992251396179,0.0012532105902209878,0.0008724094368517399,0.002770134946331382,4.6828954509692267e-05,0.0011602961458265781,0.3852186384303194,-0.0294839067068712,1.0,1.0,0.9921875,0.5
Aggressive,head_dynamic_abs_w16_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999998807907104,0.000530058634467423,0.0009765625,0.9999921321868896,1.0000001192092896,6.657974881818518e-05,4.8392834287369624e-05,0.0004551573365461081,1.8045709566649748e-06,3.535727228154428e-05,0.3578773915962283,-0.0567743550499513,1.0,1.0,0.99609375,1.0
Aggressive,head_dynamic_abs_w8_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999979734420776,0.0020758984610438347,0.001953125,0.999975323677063,0.9999996423721313,0.0009227350819855928,0.0007725558243691921,0.0026852486189454794,5.855814379174262e-05,0.001193988835439086,0.4543041103414604,-0.0294839067068712,1.0,1.0,0.98876953125,0.5
Aggressive,head_dynamic_abs_w8_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999977350234985,0.002202893840149045,0.001953125,1.0001131296157837,0.9999994039535522,0.001089466386474669,0.0005514258518815041,0.0026766674127429724,2.9311326215974987e-05,0.0007348383078351617,0.4269628635073693,-0.0567743550499513,1.0,1.0,0.994140625,0.75
Balanced,dim_had_even_w16_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999953508377075,0.003053287509828806,0.001953125,1.0000120401382446,0.9999982714653015,0.0018703091191127896,0.001240181503817439,0.003846430918201804,0.0001468020782340318,0.003627602942287922,0.4543041103414604,0.4532158983613548,1.0,1.0,0.9833984375,0.0
Balanced,dim_had_even_w16_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999953508377075,0.003053287509828806,0.001953125,1.0000120401382446,0.9999982714653015,0.0018703091191127896,0.001240181503817439,0.003846430918201804,0.0001468020782340318,0.003627602942287922,0.4269628635073693,0.4259254500182748,1.0,1.0,0.9833984375,0.0
Balanced,dim_had_random_w32_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999991059303284,0.0013919493649154902,0.0009765625,0.9999641180038452,0.9999999403953552,0.00039593540714122355,0.0002592415257822722,0.0013023236533626914,1.4310663573269267e-05,7.448476389981806e-05,0.3852186384303194,0.3842587833516082,1.0,1.0,0.9873046875,0.75
Balanced,dim_had_random_w32_b64_r0.1,2,8,code_heldout_3,long-code,32768,32771,0.9999990463256836,0.0013689511688426137,0.001953125,1.000052809715271,1.0,0.00035106908762827516,0.0002350139111513272,0.0009768713498488069,1.2128875823691487e-05,6.68260981910862e-05,0.3578773915962283,0.3569683350085283,1.0,1.0,0.9892578125,0.75
Balanced,head_dynamic_abs_w16_b64_r0.05,2,8,code_heldout_3,long-code,32768,32771,0.9999972581863403,0.002378761535510421,0.0009765625,1.0000704526901245,0.9999992251396179,0.0012532105902209878,0.0008724094368517399,0.002770134946331382,4.6828954509692267e-05,0.0011602961458265781,0.3852186384303194,-0.0294839067068712,1.0,1.0,0.9921875,0.5
