policy_role,policy,verifier,path,width,rescue_fraction,observations,net_qk_reduction_mean,net_qk_reduction_median,physical_key_byte_reduction_median,exact_match,recall_mean,top128_recall,top256_recall,top512_recall,top1024_recall,top2048_recall,index_mass_ratio_mean,newly_active_token_recall,newly_active_block_recall,tail_critical_block_recall,detector_ap_mean,rescue_precision_mean,rescue_block_fraction_mean,verifier_key_bytes,sketch_bytes,rescue_reread_key_bytes
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.18356384042009985,0.1777236768604396,-0.023590444126945442,0.2899305555555556,0.9953496721055772,0.9999610053168403,0.999894036187066,0.9996568891737196,0.9987602233886719,0.9953496721055772,0.9994627434028452,0.5217384197076116,0.44631660306265397,0.3218797372410308,0.7388949708484758,0.6263491966973885,0.031636513205535954,13727481856.0,0.0,1431568384.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w8_b64_r0.1,head,8,0.1,9216,0.19638066401483822,0.20722019294139943,-0.027481494710603016,0.2573784722222222,0.9956838819715712,0.9999660915798612,0.9998965793185763,0.9996808369954427,0.998841921488444,0.9956838819715712,0.9995034670375733,0.5243255868270466,0.4551984416849282,0.19449378330373002,0.6979976699907611,0.5253946606117865,0.03402076562563363,14732476416.0,0.0,1539457024.0
Balanced,streak2_bucket8_m-0.75_refresh8,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.15014168138584993,0.1453628727562949,-0.023590444126945442,0.3832465277777778,0.9968107011583116,0.9999881320529513,0.9999665154351128,0.9998766581217448,0.9994006686740451,0.9968107011583116,0.9996924160188416,0.6378556259437737,0.5670382518271655,0.3756947953511875,0.8617686923733123,0.7081499855115362,0.030944591204806016,13418020864.0,0.0,1400258560.0
Aggressive,streak2_bucket8_m0,head_dynamic_abs_w16_b64_r0.1,head,16,0.1,9216,0.1602511886769894,0.16562138464348775,-0.027481494710603016,0.3849826388888889,0.9971449110243056,0.9999872843424479,0.9999699062771268,0.9998887379964193,0.999458736843533,0.9971449110243056,0.9997246151238228,0.6458930214220002,0.5817840100837309,0.22979573712255771,0.8400865155784916,0.6044196006190025,0.033247377141301264,14374060032.0,0.0,1504460800.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_even_w16_b64_r0.1,dim,16,0.1,9216,0.19865758114969526,0.19117288537271643,0.19041733797422178,0.2165798611111111,0.9879858758714464,0.9994947645399306,0.9989823235405816,0.9978150261773003,0.9950590133666992,0.9879858758714464,0.9980236807531865,0.1443670076485082,0.13561261352024295,0.11419909044972208,0.4578259623499743,0.36772746878605794,0.034129749677030655,0.0,1856428032.0,1544388608.0
Aggressive,streak2_bucket8_m0,dim_had_even_w16_b64_r0.1,dim,16,0.1,9216,0.2263828161123938,0.24195859832290934,0.2412275942677875,0.1174045138888889,0.9843589464823405,0.9991048177083334,0.9983211093478732,0.996638192070855,0.9929899639553494,0.9843589464823405,0.9972436617247065,0.11729880847374008,0.11461015460920536,0.07015985790408526,0.3778569853744862,0.26022113219282333,0.03887471975529641,0.0,2114213888.0,1759100928.0
Balanced,streak2_bucket8_m-0.75_refresh8,dim_had_random_w32_b64_r0.1,dim,32,0.1,9216,0.16436739255985544,0.1595427743479308,0.15928893330496108,0.2248263888888889,0.9893327818976508,0.999558342827691,0.9991327921549479,0.9980896843804253,0.9956342909071181,0.9893327818976508,0.9982814866940655,0.19260768265247608,0.17063643506566392,0.14123294593228902,0.49163400817024083,0.40231817679958826,0.0337865042261191,0.0,3672248320.0,1528856576.0
Aggressive,streak2_bucket8_m0,dim_had_random_w32_b64_r0.1,dim,32,0.1,9216,0.1856340590420616,0.2015432992855774,0.20102291590521437,0.1208767361111111,0.9866489304436578,0.9992752075195312,0.99859619140625,0.9971396128336588,0.9940401713053385,0.9866489304436578,0.997706008081045,0.1610049575330197,0.14673181875872573,0.08947602131438721,0.40593422441271115,0.293433864591917,0.03817157348349236,0.0,4149415936.0,1727283200.0
